u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21,sample,subject
5.281170e+09,4.273712e+18,2.682173e+09,3.839128e+08,3.226174e+17,6.211351e+17,2.716462e+17,3.837913e+19,1.472957e+39,1.318799e+45,1.318799e+45,1.739231e+90,5.061436e+64,1.739231e+90,3.837913e+19,1.472957e+39,1.318799e+45,1.318799e+45,1.739231e+90,5.061436e+64,1.739231e+90,0,26
5.757986e+09,4.102885e+18,3.585911e+09,2.722274e+08,2.541971e+17,5.444834e+17,2.150597e+17,5.465147e+19,2.986783e+39,2.312992e+45,2.312992e+45,5.349933e+90,1.264084e+65,5.349933e+90,5.465147e+19,2.986783e+39,2.312992e+45,2.312992e+45,5.349933e+90,1.264084e+65,5.349931e+90,0,9
2.718090e+09,6.783664e+17,1.726655e+09,1.256773e+08,5.852126e+16,1.031744e+17,6.820456e+16,1.144913e+09,5.915737e+17,1.996296e+09,5.322524e+08,-5.459006e+17,-4.083210e+17,-4.723330e+17,1.952216e+09,2.640279e+18,4.649752e+08,7.078045e+08,3.327904e+17,6.780549e+17,2.153582e+17,0,48
6.667449e+09,9.581449e+18,6.062108e+09,6.583081e+08,1.308436e+18,2.031859e+18,1.279975e+18,2.207495e+09,1.867154e+18,4.542771e+09,9.370125e+08,-1.928015e+18,-1.276773e+18,-1.855500e+18,5.302859e+09,2.043130e+19,4.450101e+08,2.097447e+09,1.855819e+18,7.858921e+18,-9.057438e+17,0,73
4.276382e+09,5.895235e+17,1.255036e+09,7.423405e+07,2.265622e+16,5.520467e+16,2.373489e+16,2.054472e+09,2.221433e+18,6.491943e+09,1.148758e+09,-3.005037e+18,-1.667536e+18,-2.760061e+18,2.793477e+09,4.961959e+18,3.692062e+08,2.800092e+08,2.535886e+16,6.157247e+17,-4.283899e+16,0,85
6.771885e+09,3.714523e+18,1.159009e+09,4.574895e+07,5.321159e+15,7.685727e+16,5.540232e+15,2.834661e+09,4.059241e+18,7.979649e+09,1.625470e+09,-5.621928e+18,-3.222243e+18,-5.625940e+18,4.757219e+09,1.550665e+19,5.132428e+08,6.003921e+08,1.807284e+17,-1.897846e+17,1.859465e+17,0,7
6.294856e+09,6.169724e+18,2.010540e+09,2.142982e+08,1.065214e+17,4.579189e+17,1.090310e+17,2.194546e+09,2.633779e+18,4.490454e+09,8.017529e+08,-1.479212e+18,-1.284751e+18,-1.399407e+18,4.672531e+09,1.683243e+19,1.030390e+09,7.027227e+08,4.143595e+17,1.327254e+18,8.344696e+16,0,9
4.181966e+09,5.808657e+17,1.304367e+09,4.642250e+07,8.694499e+15,2.741505e+16,7.339419e+15,1.970092e+09,2.129591e+18,5.549903e+09,1.039289e+09,-2.492264e+18,-1.514576e+18,-2.479343e+18,2.722767e+09,5.160619e+18,5.407948e+07,3.527397e+08,3.225260e+16,5.873457e+17,-1.129076e+16,0,40
3.671051e+09,7.618719e+17,3.273954e+08,7.973511e+06,1.081970e+14,2.667394e+15,-1.083399e+14,1.616880e+09,1.401156e+18,3.594896e+09,6.225342e+08,-9.160244e+17,-7.314478e+17,-8.365547e+17,2.489729e+09,4.365605e+18,1.437051e+08,1.290892e+08,3.899508e+15,-1.129815e+17,5.602019e+15,0,46
4.185055e+09,1.430556e+18,7.543079e+08,1.624001e+07,2.715938e+14,-1.036526e+15,3.448766e+13,3.842246e+19,1.476285e+39,1.486244e+45,1.486244e+45,2.208921e+90,5.710514e+64,2.208921e+90,3.842246e+19,1.476285e+39,1.486244e+45,1.486244e+45,2.208921e+90,5.710514e+64,2.208921e+90,0,89
3.479860e+09,2.335870e+18,9.745385e+08,1.829665e+08,7.688817e+16,2.494578e+17,3.737204e+16,1.164356e+09,6.476654e+17,1.267788e+09,2.583423e+08,-1.478457e+17,-2.079035e+17,-1.609720e+17,2.676747e+09,5.833712e+18,8.263145e+08,6.104524e+08,3.967043e+17,9.479321e+17,3.110515e+17,0,31
4.331893e+09,2.135987e+18,5.591267e+08,5.371065e+07,7.972937e+15,7.497932e+16,8.111180e+15,1.613257e+09,1.645295e+18,2.108782e+09,3.290064e+08,-2.702936e+17,-4.199538e+17,-2.886572e+17,3.049745e+09,7.590991e+18,4.543928e+08,2.016633e+08,3.232048e+16,2.082942e+17,1.739686e+16,0,100
4.292869e+09,1.682550e+18,2.460230e+08,1.958160e+07,5.814879e+14,1.211220e+16,-4.004601e+13,1.671280e+09,1.760349e+18,2.658224e+09,4.371367e+08,-4.643542e+17,-5.746046e+17,-4.423086e+17,2.968320e+09,6.954140e+18,3.379630e+07,5.382944e+07,-1.926106e+14,1.065527e+17,-2.861665e+15,0,101
6.255653e+09,5.756022e+18,3.269475e+09,4.698710e+08,5.619507e+17,1.126653e+18,5.335135e+17,2.334340e+09,2.356381e+18,6.433646e+09,1.295878e+09,-3.741591e+18,-1.988754e+18,-3.968649e+18,4.721203e+09,1.579860e+19,1.100733e+09,1.162780e+09,8.886891e+17,2.334867e+18,-5.301064e+17,0,93
3.413154e+09,9.199371e+17,2.025458e+09,7.129283e+07,2.442029e+16,6.558663e+16,3.006937e+16,1.378328e+09,1.178934e+18,2.183600e+09,3.933451e+08,-3.621862e+17,-4.265345e+17,-2.910073e+17,2.332550e+09,4.159085e+18,3.442796e+08,3.217654e+08,7.655341e+16,5.584310e+17,-7.152463e+16,0,62
4.686095e+09,1.540770e+18,5.001337e+08,1.924444e+07,1.460564e+15,1.914227e+16,1.118478e+15,1.977560e+09,2.191756e+18,3.171242e+09,5.478613e+08,-6.877860e+17,-7.932844e+17,-6.012515e+17,3.213148e+09,7.422382e+18,4.070157e+08,2.097592e+08,1.166891e+16,-1.808327e+17,1.903836e+16,0,46
9.061930e+09,1.625887e+19,1.179528e+09,1.185993e+08,3.511127e+16,4.247147e+17,4.616497e+16,3.033011e+09,4.211340e+18,5.526803e+09,1.194699e+09,-2.954882e+18,-2.383728e+18,-2.884719e+18,7.011478e+09,3.638345e+19,3.816420e+09,1.373392e+09,7.977347e+17,-2.478642e+18,8.538078e+17,0,5
3.964330e+09,1.326556e+18,2.756981e+08,3.335587e+07,2.838168e+15,3.630942e+16,4.255558e+15,1.576217e+09,1.684727e+18,2.483042e+09,3.618245e+08,-3.422408e+17,-4.685406e+17,-2.972641e+17,2.673942e+09,5.929375e+18,8.020181e+07,8.633871e+07,4.921341e+15,1.554146e+17,-1.974364e+15,0,26
5.817711e+09,4.342895e+18,3.155514e+09,1.827238e+08,1.146672e+17,3.236944e+17,9.885346e+16,2.160652e+09,2.515704e+18,4.144891e+09,7.510171e+08,-1.315406e+18,-1.187759e+18,-1.206053e+18,4.233801e+09,1.370521e+19,1.051131e+09,7.397931e+08,4.574585e+17,1.789442e+18,-5.234717e+16,0,51
5.781188e+09,6.750131e+18,1.047624e+09,1.301516e+08,3.575391e+16,1.978262e+17,1.092227e+16,1.822277e+09,1.852319e+18,2.219187e+09,4.140775e+08,-3.824073e+17,-5.536960e+17,-3.876887e+17,4.420316e+09,1.567330e+19,1.542832e+09,5.756149e+08,2.726011e+17,-1.314061e+17,2.843820e+17,0,3
6.619004e+09,5.849246e+18,6.148449e+09,2.934728e+09,1.232660e+19,6.825554e+18,1.404441e+19,2.516444e+09,2.859933e+18,5.477501e+09,1.170843e+09,-2.784905e+18,-1.917042e+18,-2.568227e+18,4.934248e+09,1.763803e+19,2.329098e+09,4.476202e+09,1.390784e+19,1.786759e+19,-3.808700e+18,0,85
7.882350e+09,1.288728e+19,5.468874e+09,8.456857e+08,1.666745e+18,2.846084e+18,1.444120e+18,2.559863e+09,3.023698e+18,5.585742e+09,1.096559e+09,-2.697809e+18,-1.900512e+18,-2.410133e+18,6.148968e+09,2.889080e+19,2.484281e+09,2.211819e+09,4.480576e+18,8.494800e+18,4.272966e+17,0,9
5.722141e+09,4.261405e+18,9.293101e+08,4.651747e+08,3.055883e+17,9.512247e+17,3.379662e+17,2.033981e+09,2.639713e+18,2.371858e+09,4.046448e+08,-3.900119e+17,-6.536316e+17,-4.117033e+17,4.097749e+09,1.382698e+19,5.909732e+08,7.783015e+08,5.106631e+17,2.400588e+18,2.588994e+16,0,104
4.674994e+09,2.030193e+18,2.020989e+09,4.773077e+07,1.477823e+16,6.798361e+16,1.765242e+16,1.942330e+09,1.751334e+18,7.106763e+09,1.336014e+09,-4.055205e+18,-1.759414e+18,-3.543542e+18,3.354891e+09,7.711421e+18,4.645643e+08,3.215216e+08,1.464706e+16,7.987921e+17,-7.059690e+16,0,35
4.514410e+09,2.095479e+18,1.301994e+09,3.636147e+07,2.141072e+15,2.931044e+16,2.641168e+15,1.814087e+09,1.614674e+18,4.616448e+09,8.150774e+08,-1.466506e+18,-9.901348e+17,-1.504672e+18,3.245627e+09,7.437774e+18,1.242817e+08,2.404121e+08,5.048312e+15,5.761334e+17,-2.974764e+16,0,10
4.213664e+09,1.264112e+18,3.297297e+09,1.193160e+08,6.357827e+16,1.062864e+17,6.209405e+16,3.676358e+19,1.351561e+39,1.309586e+45,1.309586e+45,1.715015e+90,4.814507e+64,1.715016e+90,3.676358e+19,1.351561e+39,1.309586e+45,1.309586e+45,1.715015e+90,4.814507e+64,1.715016e+90,0,45
5.553906e+09,3.542212e+18,9.173790e+08,5.943391e+07,4.942539e+15,4.868210e+16,-6.861756e+14,2.160413e+09,2.324613e+18,5.467680e+09,1.050816e+09,-2.262557e+18,-1.514659e+18,-2.748194e+18,4.042469e+09,1.155229e+19,1.179616e+08,3.477126e+08,5.733920e+16,2.269151e+17,4.981809e+16,0,44
2.592704e+09,2.346968e+17,3.591255e+08,1.898198e+07,-3.425895e+13,2.940564e+15,1.524751e+14,1.194945e+09,8.679506e+17,2.341483e+09,4.114511e+08,-3.956292e+17,-3.786643e+17,-4.144145e+17,1.661314e+09,1.987808e+18,1.470460e+08,1.552507e+08,1.775758e+16,6.192141e+16,1.653671e+16,0,102
2.190264e+09,2.947404e+17,1.895426e+08,1.311152e+07,-1.998363e+13,-2.057588e+15,-1.164449e+14,9.758622e+08,5.392833e+17,2.086847e+09,3.554972e+08,-2.557634e+17,-2.323248e+17,-2.293650e+17,1.470242e+09,1.577689e+18,1.239561e+08,2.288299e+07,2.902479e+14,2.867530e+16,-4.680806e+14,0,13
5.024461e+09,1.589980e+18,1.341089e+08,6.495561e+06,-1.758029e+14,-5.473864e+15,-6.188226e+13,4.527224e+19,2.049576e+39,1.723980e+45,1.723980e+45,2.972106e+90,7.804843e+64,2.972106e+90,4.527224e+19,2.049576e+39,1.723980e+45,1.723980e+45,2.972106e+90,7.804843e+64,2.972106e+90,0,79
3.879115e+09,1.970535e+18,1.880772e+09,1.699633e+08,8.914117e+16,2.234227e+17,9.170297e+16,1.455892e+09,1.067796e+18,2.137214e+09,4.553094e+08,-4.415126e+17,-4.671294e+17,-3.809191e+17,2.850042e+09,6.212400e+18,4.907142e+08,4.732726e+08,1.477240e+17,1.028523e+18,-1.468294e+17,0,52
3.563345e+09,7.257371e+17,2.005750e+08,1.595662e+07,5.549988e+14,8.604145e+15,2.947636e+14,1.559189e+09,1.348384e+18,3.240173e+09,6.438679e+08,-9.261728e+17,-7.453936e+17,-8.870823e+17,2.403420e+09,4.086327e+18,8.915663e+07,1.627109e+08,1.165933e+16,2.309411e+15,1.146624e+16,0,74
3.988236e+09,1.777385e+18,2.017957e+08,5.744533e+06,3.927733e+13,5.921739e+15,4.978557e+13,3.494037e+19,1.220830e+39,1.330670e+45,1.330670e+45,1.770683e+90,4.649410e+64,1.770682e+90,3.494037e+19,1.220830e+39,1.330670e+45,1.330670e+45,1.770683e+90,4.649410e+64,1.770683e+90,0,100
6.305158e+09,5.490635e+18,1.109409e+09,3.681846e+07,7.441135e+15,8.499471e+16,8.963631e+15,2.237670e+09,3.018905e+18,4.725261e+09,7.420311e+08,-1.388330e+18,-1.288299e+18,-1.235451e+18,4.570101e+09,1.667315e+19,7.353053e+07,2.270634e+08,2.914169e+15,8.754940e+17,-1.431061e+16,0,33
4.219321e+09,1.579400e+18,3.965943e+08,2.528967e+07,1.430452e+15,2.091704e+16,6.084930e+14,1.655601e+09,1.719744e+18,2.435063e+09,4.047560e+08,-4.012457e+17,-5.300285e+17,-3.875076e+17,2.909028e+09,6.614191e+18,4.911226e+07,8.111929e+07,1.544658e+15,1.519017e+17,-4.922321e+15,0,101
4.402571e+09,1.584811e+18,3.218691e+09,1.598312e+08,1.146195e+17,2.011620e+17,1.260680e+17,1.835621e+09,1.718746e+18,5.221820e+09,9.836108e+08,-2.225571e+18,-1.286937e+18,-2.152791e+18,3.091579e+09,6.671675e+18,5.468185e+08,8.237611e+08,4.537113e+17,1.480611e+18,-1.898871e+16,0,37
6.142226e+09,4.884909e+18,4.391100e+08,8.961815e+06,-4.865369e+14,-8.766691e+15,-7.270737e+14,2.368524e+09,2.449314e+18,5.202409e+09,1.034827e+09,-2.400697e+18,-1.618354e+18,-2.378745e+18,4.578032e+09,1.495370e+19,4.474644e+08,3.101300e+08,2.129890e+16,-7.837942e+17,6.144160e+15,0,87
5.458066e+09,4.601803e+17,8.368684e+08,2.789783e+06,-1.218810e+14,1.127121e+15,-2.233530e+13,2.786907e+09,4.071411e+18,9.888547e+09,1.675919e+09,-6.688300e+18,-3.351801e+18,-6.997278e+18,3.442103e+09,7.414160e+18,3.958332e+08,6.967757e+07,-7.631142e+15,1.660710e+17,-3.700038e+15,0,99
4.411236e+09,6.240197e+17,6.723827e+08,1.528332e+07,1.485328e+15,1.192466e+16,1.919601e+15,2.085590e+09,2.394909e+18,5.422353e+09,1.091589e+09,-2.639776e+18,-1.685896e+18,-2.371348e+18,2.866317e+09,5.615739e+18,2.261512e+07,1.885982e+08,-1.198562e+16,2.799062e+17,-1.531848e+16,0,76
3.944179e+09,1.094404e+18,2.264369e+09,1.023426e+08,4.887883e+16,9.404150e+16,3.062520e+16,1.751069e+09,1.383991e+18,3.224874e+09,6.907697e+08,-1.029518e+18,-8.123992e+17,-1.111416e+18,2.770983e+09,5.536060e+18,6.585837e+08,6.800871e+08,3.346364e+17,1.048829e+18,1.891663e+17,0,89
7.096461e+09,5.722916e+18,2.504388e+09,1.673711e+08,1.083402e+17,3.985874e+17,1.294729e+17,3.908193e+19,1.527398e+39,7.341265e+44,7.341265e+44,5.389417e+89,2.869108e+64,5.389415e+89,3.908193e+19,1.527398e+39,7.341265e+44,7.341265e+44,5.389417e+89,2.869108e+64,5.389416e+89,0,24
4.225736e+09,1.688546e+18,1.193916e+09,5.552310e+07,1.428998e+16,6.891013e+16,6.224944e+15,1.669517e+09,1.580684e+18,2.501191e+09,5.312700e+08,-5.691514e+17,-6.397334e+17,-5.819772e+17,2.968573e+09,6.727036e+18,6.140260e+08,4.897701e+08,2.111645e+17,4.083929e+17,2.008454e+17,0,89
5.056464e+09,4.031482e+18,4.424559e+09,4.549360e+08,5.736702e+17,8.248461e+17,6.443485e+17,1.856629e+09,1.502710e+18,4.049621e+09,9.102510e+08,-1.687777e+18,-1.095766e+18,-1.545659e+18,3.831088e+09,1.039031e+19,1.028858e+09,1.324580e+09,1.198138e+18,3.398217e+18,-6.160977e+17,0,19
4.416800e+09,1.899801e+18,5.007382e+09,1.994457e+08,1.219381e+17,1.804419e+17,1.153341e+17,1.764100e+09,1.722475e+18,3.470209e+09,6.845837e+08,-9.030425e+17,-8.313327e+17,-9.507922e+17,3.105930e+09,7.134213e+18,1.676288e+09,1.033865e+09,9.887828e+17,1.631142e+18,7.890548e+16,0,49
5.508678e+09,4.264515e+18,5.797071e+08,5.924270e+07,8.248224e+15,8.542170e+16,6.914901e+15,2.152760e+09,1.691095e+18,5.277625e+09,9.176651e+08,-2.008639e+18,-1.191708e+18,-2.072680e+18,4.208262e+09,1.188905e+19,2.882545e+09,4.312912e+08,-4.800825e+17,-1.207123e+18,-5.603574e+17,0,16
6.931039e+09,8.355390e+18,7.223068e+09,6.514733e+08,1.382061e+18,1.854849e+18,1.550832e+18,2.354370e+09,2.898251e+18,4.018329e+09,8.205461e+08,-1.365415e+18,-1.340831e+18,-1.363618e+18,5.228686e+09,2.150898e+19,1.040027e+09,2.011855e+09,2.689428e+18,8.843617e+18,-1.186758e+18,0,33
3.984145e+09,7.339082e+17,1.581177e+09,4.468759e+07,3.381561e+15,1.794137e+16,1.535298e+15,1.810106e+09,1.761817e+18,5.337670e+09,1.060014e+09,-2.428511e+18,-1.378060e+18,-2.575508e+18,2.658753e+09,4.768780e+18,2.954837e+08,4.078845e+08,6.216349e+16,2.626914e+17,2.603941e+16,0,37
4.615897e+09,2.933147e+18,4.346221e+09,3.366845e+08,3.914941e+17,5.593757e+17,3.825422e+17,1.782799e+09,1.263541e+18,3.689531e+09,7.652910e+08,-1.273135e+18,-8.569496e+17,-1.160010e+18,3.493532e+09,8.372668e+18,8.772430e+08,9.680053e+08,6.632636e+17,2.730101e+18,-5.811581e+17,0,55
3.863651e+09,2.494526e+18,5.262932e+07,4.763032e+06,7.375654e+13,7.521858e+15,6.138148e+13,1.298729e+09,9.744447e+17,1.703745e+09,2.810012e+08,-1.939697e+17,-2.771453e+17,-2.024804e+17,2.876804e+09,6.695415e+18,2.740126e+08,8.654699e+07,-5.647643e+15,-1.693064e+17,-3.390398e+15,0,31
4.531903e+09,1.995419e+18,4.220808e+09,6.223745e+08,8.654649e+17,8.113746e+17,8.818202e+17,3.749948e+19,1.406211e+39,1.398736e+45,1.398736e+45,1.956462e+90,5.245186e+64,1.956461e+90,3.749948e+19,1.406211e+39,1.398736e+45,1.398736e+45,1.956462e+90,5.245186e+64,1.956462e+90,0,94
6.309295e+09,4.908103e+18,1.217568e+09,6.316981e+07,1.383854e+16,1.299358e+17,2.085491e+16,2.313823e+09,3.266883e+18,4.479674e+09,7.704994e+08,-1.208542e+18,-1.280767e+18,-1.249391e+18,4.503314e+09,1.604412e+19,5.264180e+08,3.466855e+08,8.188982e+16,2.546348e+17,3.885613e+16,0,8
3.656365e+09,1.394358e+18,6.739167e+07,8.471184e+06,-8.722639e+13,-7.900569e+15,-9.077760e+13,1.382869e+09,1.215464e+18,2.080191e+09,3.281361e+08,-2.700058e+17,-3.612504e+17,-2.802102e+17,2.554046e+09,5.239510e+18,3.404752e+07,1.742615e+07,2.622185e+14,-2.487559e+16,-2.243202e+14,0,103
3.909384e+09,1.833791e+18,2.270650e+09,1.327685e+08,7.100952e+16,1.793087e+17,9.108695e+16,3.376296e+19,1.139938e+39,1.229304e+45,1.229304e+45,1.511187e+90,4.150493e+64,1.511187e+90,3.376296e+19,1.139938e+39,1.229304e+45,1.229304e+45,1.511187e+90,4.150493e+64,1.511187e+90,0,62
5.603478e+09,3.202942e+18,1.109535e+07,3.362564e+06,-9.456064e+12,6.991476e+14,-1.129317e+13,2.143120e+09,2.797264e+18,4.226129e+09,6.734547e+08,-1.130874e+18,-1.123068e+18,-1.119239e+18,3.931005e+09,1.217990e+19,1.106048e+08,6.686202e+07,-3.302119e+15,-1.687154e+17,-3.316181e+15,0,44
8.380908e+09,1.801454e+19,6.217071e+09,8.259317e+08,1.867473e+18,3.503416e+18,2.008904e+18,2.503832e+09,2.678318e+18,3.749588e+09,9.011708e+08,-1.652893e+18,-1.472373e+18,-1.578198e+18,6.744511e+09,3.549398e+19,4.894279e+09,3.180642e+09,1.062596e+19,9.936022e+18,7.227318e+18,0,17
7.063326e+09,5.721204e+18,2.660019e+09,1.661128e+08,1.102991e+17,3.952279e+17,1.175908e+17,2.744857e+09,3.782295e+18,4.944456e+09,1.002379e+09,-2.224807e+18,-1.945922e+18,-2.103436e+18,5.120512e+09,1.965864e+19,6.466453e+08,9.005361e+08,5.668418e+17,2.608192e+18,2.353719e+17,1,24
4.936150e+09,8.082767e+17,2.190487e+09,3.677524e+07,2.683147e+15,1.911867e+16,1.466754e+15,2.349630e+09,2.862044e+18,6.328411e+09,1.348402e+09,-3.694686e+18,-2.209074e+18,-4.090850e+18,3.248603e+09,6.967775e+18,5.839305e+07,4.808920e+08,3.531212e+16,7.945353e+17,-2.915488e+16,0,76
3.520374e+09,1.339608e+18,4.978178e+08,2.949143e+07,3.548129e+15,3.250985e+16,4.469241e+15,1.346825e+09,1.036597e+18,2.951599e+09,5.053049e+08,-6.159076e+17,-5.137335e+17,-5.432429e+17,2.503861e+09,4.749572e+18,1.155595e+07,1.744899e+08,6.856639e+15,2.250543e+17,9.070258e+15,0,28
4.637380e+09,3.632393e+18,1.082963e+09,1.180697e+08,4.139453e+16,2.168198e+17,4.004984e+16,3.513084e+19,1.234176e+39,1.028291e+45,1.028291e+45,1.057383e+90,3.612474e+64,1.057384e+90,3.513084e+19,1.234176e+39,1.028291e+45,1.028291e+45,1.057383e+90,3.612474e+64,1.057383e+90,0,12
5.705072e+09,5.079235e+18,2.450614e+08,2.864365e+07,2.579355e+14,2.395268e+16,3.287917e+13,2.015450e+09,2.138743e+18,4.100759e+09,7.960819e+08,-1.423788e+18,-1.157331e+18,-1.378908e+18,4.242641e+09,1.377457e+19,4.687362e+08,2.482431e+08,-2.751641e+16,-5.605842e+17,-1.859205e+15,0,21
5.825984e+09,5.136713e+18,5.716065e+08,2.247945e+07,-3.543504e+14,9.201556e+15,-1.537341e+15,2.220558e+09,1.807100e+18,5.560242e+09,9.860360e+08,-2.174294e+18,-1.283488e+18,-2.017743e+18,4.486719e+09,1.351861e+19,2.943172e+08,3.447241e+08,8.906233e+16,2.346603e+17,1.516846e+17,0,87
4.696319e+09,3.286315e+18,8.211987e+08,2.842303e+07,4.085839e+15,4.810471e+16,3.187644e+15,1.704154e+09,1.394499e+18,3.457567e+09,6.544001e+08,-9.798754e+17,-7.698660e+17,-9.722781e+17,3.515920e+09,9.519908e+18,4.158889e+08,2.483526e+08,5.313218e+15,-2.366187e+17,1.191237e+16,0,25
3.866246e+09,1.518757e+18,8.458464e+08,3.538028e+07,5.856530e+15,3.915864e+16,5.086092e+15,1.603005e+09,1.107690e+18,4.565175e+09,9.598916e+08,-1.987458e+18,-1.007276e+18,-1.645266e+18,2.818048e+09,5.123551e+18,8.824455e+07,2.138176e+08,-2.743567e+16,3.342130e+17,-2.679363e+16,0,78
