j1,j2,j3,sample,subject
7.525955e+09,1.474448e+19,4.580624e+27,0,74
6.988074e+19,5.573778e+29,9.871991e+38,0,100
1.311293e+10,4.046532e+19,1.662235e+28,0,33
8.783950e+09,1.909280e+19,5.465108e+27,0,101
9.329771e+09,2.233476e+19,9.077228e+27,0,37
1.308878e+10,4.200730e+19,2.359521e+28,0,87
1.168708e+10,3.745966e+19,2.124291e+28,0,99
9.363142e+09,2.338979e+19,9.399256e+27,0,76
8.466231e+09,1.828668e+19,6.160976e+27,0,89
7.816387e+19,1.109336e+30,3.488635e+39,0,24
8.863826e+09,1.946029e+19,6.102029e+27,0,89
1.074418e+10,2.776763e+19,1.312987e+28,0,19
9.286831e+09,2.151049e+19,7.644963e+27,0,49
1.186970e+10,3.484471e+19,2.006397e+28,0,16
1.451410e+10,4.815890e+19,2.358072e+28,0,33
8.453004e+09,1.895436e+19,7.177230e+27,0,37
9.892228e+09,2.412029e+19,1.111017e+28,0,55
8.039184e+09,1.472611e+19,3.609160e+27,0,31
7.499896e+19,6.797446e+29,1.390518e+39,0,94
1.312643e+10,4.122172e+19,1.736111e+28,0,8
7.593280e+09,1.395515e+19,3.180479e+27,0,103
6.752593e+19,5.279489e+29,9.080891e+38,0,62
1.167760e+10,3.326462e+19,1.248359e+28,0,44
1.762925e+10,6.581037e+19,4.135353e+28,0,17
1.492870e+10,5.448232e+19,3.066965e+28,1,24
1.053438e+10,2.980166e+19,1.439139e+28,0,76
7.371060e+09,1.335051e+19,3.576503e+27,0,28
7.026168e+19,6.516360e+29,1.255633e+39,0,12
1.196316e+10,3.361735e+19,1.462786e+28,0,21
1.253326e+10,3.854119e+19,2.343347e+28,0,87
9.916392e+09,2.312052e+19,8.184573e+27,0,25
8.287300e+09,1.770888e+19,7.400153e+27,0,78
1.445103e+10,4.931078e+19,2.759408e+28,0,6
9.486398e+09,2.108902e+19,8.012537e+27,0,38
7.064325e+19,4.156424e+29,5.466814e+38,0,15
9.266825e+09,2.103920e+19,6.166880e+27,0,26
1.181976e+10,3.725107e+19,2.192028e+28,0,81
1.738977e+10,6.594001e+19,4.657193e+28,0,21
9.099635e+09,2.141991e+19,1.019018e+28,0,36
7.126594e+09,1.208837e+19,3.331202e+27,0,82
7.922993e+19,9.584554e+29,2.564707e+39,0,8
9.985432e+09,2.422323e+19,1.109497e+28,0,50
1.272378e+10,3.506403e+19,1.560410e+28,0,55
1.347547e+10,4.325514e+19,2.013095e+28,0,33
1.406869e+10,4.946172e+19,3.200988e+28,0,34
1.438074e+10,4.596019e+19,2.386351e+28,0,17
1.096752e+10,2.943935e+19,1.020818e+28,0,104
7.078963e+09,1.237818e+19,3.752723e+27,0,12
1.267491e+10,3.949472e+19,2.338178e+28,0,16
7.022661e+19,5.739546e+29,9.695372e+38,0,38
7.854536e+09,1.617885e+19,4.875510e+27,0,86
1.426328e+10,4.953029e+19,2.516402e+28,0,27
7.469613e+19,9.541620e+29,2.722159e+39,0,34
9.314376e+09,2.225415e+19,1.045600e+28,0,78
1.443925e+10,4.839537e+19,2.466444e+28,0,17
7.035489e+19,5.376180e+29,9.197073e+38,0,100
1.312902e+10,4.279278e+19,2.011100e+28,0,24
1.422144e+10,4.848918e+19,3.063587e+28,0,87
1.001747e+10,2.345237e+19,7.939962e+27,0,25
8.508337e+19,9.790103e+29,2.448224e+39,0,9
6.119524e+09,9.861047e+18,2.520173e+27,0,88
1.529552e+10,5.629692e+19,3.233962e+28,0,27
1.173702e+10,3.406238e+19,1.442742e+28,0,8
1.111140e+10,3.038667e+19,1.344489e+28,0,44
8.121288e+09,1.683877e+19,5.562131e+27,0,46
1.015478e+10,2.511781e+19,1.062808e+28,0,45
9.999047e+09,2.396056e+19,7.940716e+27,0,26
8.071029e+09,1.503201e+19,4.425833e+27,0,11
1.341177e+10,4.519662e+19,2.793691e+28,0,33
6.511596e+09,1.042044e+19,2.401963e+27,0,83
1.311295e+10,4.252469e+19,1.961259e+28,0,27
8.793762e+09,1.919212e+19,6.047534e+27,0,14
9.249108e+09,2.167785e+19,9.984813e+27,0,19
1.163595e+10,3.513225e+19,1.479360e+28,0,23
8.835765e+09,1.908531e+19,5.340561e+27,0,26
5.870597e+09,8.632847e+18,2.218321e+27,0,63
3.506445e+09,3.174368e+18,4.466228e+26,0,58
1.838401e+10,7.731761e+19,5.643768e+28,0,2
9.119655e+09,2.176590e+19,7.355750e+27,0,0
7.053712e+09,1.168846e+19,3.102033e+27,0,82
8.921393e+09,1.886642e+19,4.774808e+27,0,100
4.555689e+09,5.710968e+18,1.345791e+27,0,53
1.417595e+10,5.443977e+19,4.188757e+28,0,46
7.366998e+09,1.457826e+19,4.873062e+27,0,46
7.938194e+19,1.003568e+30,2.985073e+39,1,7
1.191053e+10,2.993011e+19,9.267194e+27,0,14
9.209070e+09,2.008917e+19,5.816342e+27,0,89
1.807640e+10,7.170909e+19,4.015406e+28,0,5
6.668878e+09,1.055307e+19,2.593109e+27,0,82
7.856477e+09,1.403869e+19,2.980849e+27,0,31
8.404764e+09,1.643314e+19,3.965805e+27,0,43
1.350441e+10,4.375452e+19,2.176939e+28,0,8
1.428562e+10,5.200381e+19,3.035470e+28,0,7
1.012814e+10,2.862133e+19,1.620787e+28,0,81
1.171360e+10,3.239901e+19,1.296192e+28,0,26
6.687728e+19,5.051760e+29,7.678874e+38,0,48
9.357667e+09,2.040216e+19,7.817352e+27,0,38
1.215581e+10,3.732734e+19,1.782853e+28,0,42
1.278625e+10,3.951861e+19,2.435485e+28,0,16
9.432025e+19,1.056947e+30,2.508283e+39,0,16
1.463910e+10,4.817486e+19,2.539446e+28,0,87
1.410747e+10,4.757460e+19,2.377860e+28,0,41
1.059906e+10,2.755267e+19,1.340792e+28,0,97
6.760940e+09,1.161138e+19,3.609105e+27,0,12
9.656327e+09,2.258425e+19,6.450506e+27,0,101
8.606084e+09,1.918037e+19,6.555601e+27,0,84
9.782643e+09,2.359977e+19,7.484058e+27,0,42
8.240320e+09,1.752253e+19,6.252426e+27,0,30
1.238117e+10,3.879401e+19,2.266622e+28,0,44
1.771938e+10,7.299591e+19,5.731034e+28,0,2
9.305668e+09,2.179065e+19,9.665887e+27,0,78
7.155145e+09,1.290815e+19,3.554815e+27,0,83
2.285539e+10,1.098341e+20,8.488325e+28,0,23
1.092943e+10,2.971533e+19,1.359383e+28,0,93
1.047206e+10,2.684754e+19,1.241050e+28,0,32
7.917565e+19,8.952873e+29,2.251408e+39,0,66
7.809121e+19,1.063942e+30,3.020836e+39,0,2
9.515269e+19,9.086860e+29,1.971923e+39,0,35
1.364356e+10,4.528654e+19,2.406750e+28,0,6
9.352998e+09,2.205019e+19,8.374573e+27,0,89
1.058441e+10,2.775616e+19,1.455077e+28,0,30
8.497192e+09,1.870000e+19,6.178592e+27,0,84
1.021032e+10,2.581996e+19,1.058177e+28,0,73
5.926052e+09,9.416548e+18,3.037612e+27,0,53
7.738666e+09,1.544242e+19,5.648662e+27,0,30
5.927693e+09,9.090437e+18,2.431905e+27,0,90
1.426906e+10,4.998135e+19,2.899522e+28,0,34
8.627998e+09,1.699376e+19,5.479418e+27,0,11
1.367115e+10,4.332109e+19,2.249453e+28,0,17
1.325542e+10,4.309539e+19,2.186994e+28,0,42
8.768885e+09,1.975023e+19,6.786860e+27,0,59
8.630514e+09,1.865724e+19,5.009579e+27,0,26
8.463377e+09,1.654130e+19,4.018370e+27,0,43
1.018634e+10,2.638450e+19,9.873349e+27,0,40
1.072045e+10,3.050541e+19,1.466472e+28,0,85
1.057547e+10,2.592054e+19,1.056404e+28,0,25
9.403859e+09,2.303446e+19,1.013290e+28,0,92
6.736525e+19,5.151525e+29,8.223951e+38,0,31
8.720655e+09,1.912250e+19,7.556498e+27,0,97
2.208473e+10,1.103994e+20,8.611294e+28,0,5
8.572474e+19,8.983872e+29,2.024651e+39,0,45
1.043816e+10,2.832419e+19,1.613856e+28,0,16
1.072957e+10,3.061445e+19,1.576203e+28,0,98
1.182279e+10,3.281049e+19,1.610152e+28,0,97
9.341091e+09,2.160424e+19,7.497584e+27,0,101
9.251139e+19,8.349300e+29,1.567250e+39,0,20
6.377495e+09,1.047820e+19,3.103379e+27,0,90
6.951605e+09,1.183900e+19,2.757548e+27,0,83
7.841879e+09,1.388585e+19,4.229164e+27,0,82
1.145784e+10,3.441357e+19,2.135904e+28,0,97
1.851923e+10,8.009500e+19,5.526007e+28,0,5
8.336094e+09,1.774580e+19,4.186411e+27,0,40
8.785784e+09,1.723418e+19,4.739293e+27,0,43
8.262765e+09,1.654949e+19,5.633671e+27,0,97
1.033731e+10,2.861718e+19,1.810765e+28,0,38
8.788774e+09,1.942802e+19,5.821316e+27,0,68
8.018039e+09,1.550196e+19,3.693340e+27,0,100
1.163562e+10,3.442833e+19,2.068898e+28,0,16
8.900067e+09,1.941046e+19,6.326076e+27,0,96
1.083037e+10,2.687135e+19,8.363197e+27,0,20
8.504058e+09,1.679864e+19,4.657373e+27,0,31
1.271626e+10,4.088355e+19,2.080276e+28,0,27
1.103129e+10,3.114262e+19,1.632716e+28,0,94
1.446339e+10,5.587005e+19,3.942689e+28,0,7
1.166027e+10,3.296541e+19,1.537094e+28,0,93
5.836373e+09,8.942394e+18,2.098921e+27,0,102
9.350130e+09,2.298201e+19,1.184545e+28,0,30
1.339269e+10,4.343231e+19,1.992609e+28,0,24
8.416409e+19,1.028610e+30,2.647886e+39,0,44
1.135298e+10,3.294779e+19,1.655793e+28,0,57
7.982442e+09,1.658739e+19,5.691270e+27,0,22
1.064199e+10,2.814169e+19,1.356024e+28,0,93
8.251618e+09,1.711391e+19,5.174773e+27,0,60
8.333168e+09,1.743206e+19,4.641612e+27,0,39
8.911842e+09,1.972778e+19,6.855111e+27,0,55
9.812115e+09,2.690390e+19,1.483312e+28,0,81
6.876174e+09,1.207505e+19,3.439304e+27,0,80
1.118241e+10,3.059382e+19,1.519850e+28,0,16
9.447415e+09,2.263110e+19,8.791175e+27,0,96
1.250911e+10,4.254565e+19,2.392161e+28,0,99
9.770088e+09,2.459299e+19,1.110348e+28,0,37
1.153245e+10,3.226670e+19,1.627202e+28,0,97
7.550712e+19,1.007483e+30,2.878999e+39,0,34
1.415469e+10,4.749613e+19,3.003007e+28,0,16
7.249344e+09,1.269927e+19,3.355025e+27,0,12
1.237115e+10,3.804376e+19,2.258823e+28,0,4
5.821819e+09,8.634750e+18,1.867049e+27,0,102
7.133522e+09,1.265146e+19,3.291331e+27,0,83
7.822290e+09,1.470873e+19,3.317808e+27,0,28
9.698753e+09,2.300642e+19,8.173939e+27,0,3
1.175569e+10,3.549266e+19,2.074991e+28,0,16
1.206094e+10,3.112163e+19,1.342771e+28,0,38
8.862586e+09,1.808531e+19,4.767561e+27,0,69
8.328985e+09,1.901027e+19,7.698037e+27,0,70
7.901789e+09,1.642755e+19,5.366357e+27,0,45
1.028145e+10,2.677110e+19,1.440902e+28,0,36
7.092131e+09,1.144359e+19,2.517526e+27,0,31
5.847558e+09,8.143219e+18,1.730344e+27,0,15
7.487156e+19,7.773506e+29,1.887048e+39,0,61
8.277181e+19,7.255880e+29,1.374441e+39,0,69
8.882809e+09,1.835431e+19,4.421651e+27,0,100
1.083013e+10,2.839459e+19,1.116290e+28,0,44
5.108732e+09,6.573363e+18,1.221876e+27,0,13
1.204234e+10,3.464425e+19,1.643078e+28,0,21
8.789690e+09,1.844722e+19,4.736010e+27,0,100
1.467511e+10,5.601377e+19,3.624973e+28,0,99
8.129338e+09,1.575011e+19,5.051172e+27,0,1
1.370610e+10,4.165402e+19,1.468343e+28,0,104
1.597843e+10,6.091112e+19,3.424508e+28,0,41
1.830161e+10,7.580184e+19,4.744996e+28,0,2
1.026365e+10,2.613867e+19,1.128314e+28,0,10
8.545872e+09,1.978976e+19,8.060897e+27,0,85
9.127803e+09,2.172562e+19,8.795186e+27,0,75
1.144410e+10,3.459104e+19,2.080318e+28,0,16
7.938006e+19,7.251705e+29,1.450020e+39,0,36
8.656605e+09,1.953813e+19,7.010641e+27,0,84
7.422003e+09,1.334020e+19,3.400695e+27,0,83
1.068012e+10,2.787169e+19,9.966446e+27,0,3
8.927413e+09,1.846185e+19,4.698965e+27,0,20
9.569873e+09,2.244471e+19,9.602644e+27,0,36
6.966239e+09,1.217011e+19,3.279931e+27,0,83
1.128797e+10,2.683096e+19,8.439783e+27,0,29
8.334904e+19,6.765426e+29,1.327871e+39,0,86
1.442028e+10,5.012374e+19,2.938663e+28,0,9
1.506380e+10,5.655023e+19,3.383342e+28,0,7
8.889546e+09,1.940127e+19,5.885437e+27,0,100
7.498534e+19,5.781371e+29,9.860787e+38,0,29
6.026714e+09,9.193837e+18,2.037090e+27,0,102
5.503830e+09,8.116772e+18,1.984078e+27,0,95
6.786531e+09,1.157174e+19,3.094219e+27,0,83
7.629919e+19,6.755432e+29,1.318904e+39,0,100
1.105197e+10,3.024357e+19,1.503083e+28,0,35
8.516096e+09,1.927402e+19,7.096834e+27,0,86
7.889386e+09,1.617419e+19,4.798973e+27,0,39
1.308968e+10,3.983717e+19,2.052546e+28,0,93
7.633010e+09,1.426973e+19,3.813584e+27,0,28
1.695546e+10,6.979541e+19,4.408204e+28,0,41
1.048684e+10,2.816721e+19,1.180107e+28,0,42
1.545108e+10,5.352209e+19,2.737803e+28,0,9
8.685968e+09,1.980028e+19,6.771249e+27,0,46
1.028903e+10,2.568497e+19,8.589764e+27,0,68
1.011287e+10,2.609570e+19,1.358588e+28,0,36
9.268605e+09,2.192190e+19,8.105122e+27,0,89
8.240483e+09,1.619890e+19,4.005886e+27,0,25
8.575693e+19,8.234741e+29,1.702856e+39,0,20
6.842975e+19,3.607745e+29,4.466738e+38,0,95
1.908582e+10,8.182475e+19,6.530295e+28,0,2
6.853421e+09,1.154787e+19,2.571295e+27,0,1
9.058294e+09,2.014662e+19,6.265006e+27,0,89
1.842272e+10,7.603736e+19,4.497391e+28,0,41
6.706563e+09,1.108682e+19,2.447277e+27,0,18
1.626435e+10,6.080463e+19,3.555610e+28,0,2
8.955902e+09,2.079833e+19,7.339314e+27,0,39
6.068413e+20,3.027500e+30,3.517125e+39,0,13
1.003668e+10,2.594021e+19,1.225234e+28,0,75
9.242717e+09,2.284100e+19,9.893849e+27,0,61
1.024253e+10,2.402040e+19,8.619047e+27,0,69
9.487825e+09,2.081708e+19,6.498320e+27,0,103
1.713569e+10,6.372232e+19,3.924645e+28,0,17
5.762028e+09,8.190099e+18,1.687498e+27,0,13
1.245298e+10,3.854282e+19,1.860054e+28,0,24
7.984507e+19,1.136449e+30,3.467205e+39,0,6
9.809568e+09,2.500324e+19,1.254023e+28,0,30
1.255314e+10,4.182277e+19,2.360078e+28,0,7
1.318664e+10,4.357911e+19,2.626930e+28,0,42
8.394997e+09,1.796884e+19,6.074913e+27,0,96
9.556032e+09,2.244425e+19,7.886415e+27,0,26
7.892248e+19,9.913049e+29,2.546217e+39,0,77
8.554346e+09,1.741522e+19,4.498095e+27,0,14
7.882016e+09,1.472266e+19,4.019983e+27,0,83
1.092991e+10,3.136731e+19,1.503605e+28,0,98
8.859504e+09,2.120619e+19,9.161934e+27,0,70
1.390061e+10,4.552826e+19,2.080288e+28,0,27
8.585882e+09,1.712836e+19,5.780195e+27,0,12
6.242145e+09,9.713044e+18,2.202557e+27,0,18
1.000509e+10,2.624850e+19,1.390089e+28,0,94
1.079481e+10,3.016813e+19,1.992369e+28,0,30
8.553471e+09,1.719540e+19,6.089712e+27,0,38
8.011511e+09,1.693589e+19,5.727647e+27,0,92
6.778159e+09,1.133653e+19,3.138687e+27,0,12
7.771561e+19,1.041612e+30,3.072293e+39,0,33
1.149327e+10,2.665148e+19,1.009214e+28,0,11
1.379898e+10,4.697441e+19,2.334222e+28,0,41
9.418325e+09,2.164213e+19,6.762636e+27,0,101
6.303494e+09,1.002283e+19,2.314739e+27,0,102
1.294612e+10,3.965939e+19,1.996692e+28,0,54
9.357734e+09,2.191889e+19,6.736474e+27,0,68
7.470190e+19,5.906427e+29,1.084868e+39,0,3
1.196741e+10,3.818398e+19,2.089221e+28,0,7
1.315917e+10,4.333333e+19,2.327983e+28,0,24
6.586923e+09,1.083677e+19,2.617287e+27,0,18
8.161466e+09,1.755100e+19,5.631150e+27,0,39
9.604018e+09,2.336597e+19,9.958299e+27,0,93
1.021054e+10,2.375702e+19,9.308938e+27,0,38
8.784050e+09,1.883178e+19,5.835033e+27,0,3
9.282713e+09,2.111978e+19,7.507793e+27,0,103
1.682308e+10,6.816628e+19,4.347127e+28,0,41
9.387588e+09,2.406075e+19,9.845036e+27,0,99
1.210515e+10,3.317266e+19,1.319654e+28,0,3
1.037681e+10,2.572945e+19,8.866834e+27,0,91
8.087553e+09,1.739348e+19,6.241871e+27,0,37
8.519386e+09,1.775761e+19,5.365705e+27,0,103
1.181070e+10,3.227376e+19,1.404915e+28,0,22
1.657131e+10,5.807876e+19,3.711086e+28,0,30
1.276838e+10,3.897136e+19,1.801045e+28,0,98
7.163835e+09,1.402028e+19,5.062375e+27,0,56
8.637376e+09,1.841651e+19,5.348067e+27,0,3
1.722358e+10,6.749610e+19,4.351871e+28,0,2
6.111612e+09,9.468864e+18,1.948457e+27,0,102
8.122582e+09,1.692558e+19,5.967331e+27,0,30
1.155026e+10,3.491033e+19,1.553595e+28,0,7
8.938802e+09,2.035684e+19,8.488580e+27,0,30
1.262910e+10,3.874035e+19,1.802030e+28,0,33
1.021862e+10,2.847393e+19,1.415781e+28,0,81
1.849137e+10,7.665247e+19,4.546541e+28,0,5
1.221768e+10,3.173449e+19,9.723739e+27,0,20
8.953067e+09,1.921106e+19,5.858887e+27,0,25
8.186631e+09,1.668849e+19,5.131596e+27,0,14
8.423047e+09,1.810858e+19,5.826036e+27,0,49
2.156369e+10,1.030893e+20,8.910197e+28,0,5
8.281219e+09,1.647644e+19,3.729304e+27,0,100
6.833389e+09,1.113147e+19,2.884872e+27,0,82
8.157238e+09,1.600524e+19,4.428740e+27,0,29
5.477305e+09,7.581473e+18,1.794313e+27,0,63
8.884358e+09,2.005520e+19,7.110361e+27,0,19
4.417730e+09,4.987519e+18,8.400028e+26,0,13
1.138869e+10,3.198077e+19,1.636710e+28,0,4
1.169379e+10,3.456710e+19,2.061363e+28,0,4
4.948768e+09,6.271316e+18,1.259365e+27,0,13
1.005262e+10,2.486100e+19,1.094892e+28,0,36
1.414910e+10,4.803041e+19,2.896549e+28,0,87
7.981452e+19,7.755709e+29,1.591909e+39,0,36
8.985326e+09,2.048622e+19,7.948167e+27,0,94
1.224391e+10,3.689956e+19,2.153447e+28,0,93
9.825091e+09,2.223170e+19,8.875796e+27,0,38
8.211476e+09,1.756842e+19,5.809518e+27,0,45
7.940391e+09,1.540742e+19,3.843625e+27,0,14
6.542399e+09,9.630375e+18,1.664761e+27,0,31
8.253883e+19,1.039441e+30,2.888386e+39,0,24
8.272347e+09,1.614572e+19,3.980940e+27,0,100
6.987295e+09,1.180322e+19,3.223908e+27,0,12
1.933265e+10,8.486987e+19,6.387690e+28,0,5
9.337398e+09,2.188918e+19,9.657278e+27,0,55
6.955803e+09,1.208875e+19,3.851327e+27,0,36
5.142907e+09,6.748331e+18,1.412258e+27,0,48
1.050548e+10,2.898718e+19,1.311487e+28,0,98
7.045422e+09,1.147885e+19,2.373656e+27,0,31
8.158433e+09,1.723141e+19,6.410493e+27,0,22
1.457989e+10,5.182571e+19,3.018604e+28,0,33
1.479071e+10,5.368583e+19,3.269523e+28,0,34
9.896713e+09,2.770189e+19,1.582150e+28,0,81
7.775690e+09,1.466607e+19,3.684053e+27,0,29
1.333770e+10,4.612962e+19,2.894205e+28,0,81
1.506210e+10,5.225518e+19,3.302192e+28,0,21
6.843615e+19,4.360993e+29,6.279481e+38,0,18
9.151862e+09,1.976898e+19,6.295905e+27,0,25
8.600678e+09,1.931071e+19,6.756321e+27,0,37
8.185637e+09,1.591226e+19,4.279544e+27,0,83
9.117990e+09,2.275352e+19,1.036345e+28,0,85
5.275939e+09,6.559913e+18,9.768348e+26,0,31
1.659166e+10,6.813501e+19,4.656864e+28,0,41
7.550364e+09,1.507751e+19,4.057966e+27,0,86
1.164509e+10,3.724970e+19,2.431934e+28,0,81
1.158494e+10,3.349044e+19,1.780050e+28,0,94
6.927463e+19,4.015106e+29,5.239162e+38,0,83
1.272547e+10,4.030692e+19,2.324860e+28,0,87
7.764163e+19,7.532434e+29,1.589627e+39,0,10
8.517278e+09,1.825387e+19,5.488341e+27,0,39
1.874459e+10,8.975261e+19,7.953913e+28,0,3
9.772758e+09,2.382499e+19,8.389439e+27,0,101
1.950785e+10,8.200326e+19,4.801280e+28,0,41
7.996026e+09,1.587012e+19,4.031862e+27,0,68
1.144759e+10,3.069850e+19,1.337268e+28,0,4
7.803624e+19,1.272846e+30,4.226380e+39,0,9
1.097987e+10,3.147618e+19,1.548632e+28,0,42
9.118648e+09,2.236885e+19,1.049078e+28,0,37
9.376176e+09,2.283198e+19,1.148022e+28,0,30
8.725426e+09,1.987829e+19,6.941190e+27,0,39
7.339781e+09,1.371322e+19,4.309077e+27,0,55
1.107153e+10,2.791921e+19,8.638691e+27,0,101
9.464191e+09,2.369009e+19,1.153913e+28,0,35
6.626313e+09,1.038415e+19,2.633320e+27,0,82
1.568556e+10,5.686682e+19,3.294102e+28,0,17
1.033322e+10,2.727437e+19,1.150843e+28,0,40
1.195911e+10,3.468582e+19,1.807866e+28,0,16
1.449293e+10,5.132247e+19,2.725121e+28,0,6
7.482331e+09,1.427393e+19,4.233579e+27,0,83
9.899230e+09,2.514848e+19,1.088785e+28,0,94
8.955630e+09,1.995883e+19,5.692527e+27,0,39
8.565459e+09,1.842286e+19,5.081671e+27,0,101
7.444492e+09,1.424531e+19,4.781121e+27,0,55
1.094991e+10,2.884551e+19,1.139330e+28,0,91
7.705171e+09,1.544926e+19,5.360312e+27,0,22
1.190829e+10,3.440353e+19,1.665043e+28,0,93
9.426649e+09,2.222626e+19,8.387421e+27,0,10
1.184659e+10,3.317378e+19,1.813543e+28,0,36
6.993820e+09,1.241795e+19,3.326717e+27,0,62
1.573191e+10,5.704053e+19,3.126876e+28,0,2
8.138345e+09,1.603852e+19,4.363825e+27,0,103
1.050873e+10,2.842809e+19,1.474919e+28,0,16
7.846032e+19,9.169870e+29,2.363640e+39,0,51
8.442956e+09,1.748012e+19,5.816131e+27,0,1
9.066655e+09,2.182712e+19,9.814235e+27,0,35
8.709647e+09,1.958825e+19,6.746628e+27,0,39
9.886473e+09,2.173554e+19,6.447114e+27,0,29
7.561755e+09,1.281658e+19,2.829812e+27,0,15
6.512561e+09,1.037449e+19,2.160307e+27,0,83
6.445305e+09,1.086398e+19,2.870026e+27,0,95
9.144026e+09,1.958357e+19,6.093559e+27,0,12
9.727971e+09,2.472472e+19,9.716057e+27,0,42
7.543657e+19,6.568872e+29,1.270274e+39,0,96
9.928990e+09,2.336560e+19,7.396158e+27,0,14
6.188349e+09,9.808306e+18,2.152628e+27,0,88
8.702260e+09,1.942178e+19,6.746319e+27,0,77
9.484635e+09,2.262606e+19,9.673182e+27,0,73
7.346582e+19,7.054970e+29,1.530572e+39,0,93
8.929008e+09,1.876548e+19,6.978937e+27,0,38
1.254118e+10,3.816501e+19,2.112625e+28,0,97
1.012365e+10,2.301198e+19,7.308968e+27,0,14
1.605123e+10,5.911850e+19,3.842304e+28,0,9
8.951396e+09,2.008301e+19,6.902999e+27,0,89
6.825141e+09,1.155569e+19,2.910261e+27,0,18
1.097964e+10,2.957364e+19,1.021190e+28,0,26
8.248082e+09,1.724529e+19,4.941112e+27,0,101
1.233908e+10,3.650917e+19,1.604008e+28,0,6
1.268817e+10,4.120531e+19,2.381414e+28,0,67
8.282898e+09,1.700909e+19,4.444474e+27,0,60
1.432648e+10,4.977973e+19,2.685143e+28,0,33
1.057983e+10,3.069785e+19,1.713863e+28,0,81
1.006859e+10,2.494722e+19,1.150841e+28,0,78
7.497061e+09,1.307739e+19,3.788653e+27,0,82
7.445635e+19,8.351507e+29,2.062841e+39,0,98
9.090782e+09,2.150562e+19,6.957651e+27,0,0
9.343792e+09,2.325402e+19,9.466448e+27,0,85
8.124815e+19,5.926297e+29,9.692619e+38,0,103
7.332084e+19,6.493414e+29,1.257610e+39,0,25
1.280443e+10,3.921459e+19,2.085293e+28,0,21
1.268928e+10,3.679531e+19,1.377152e+28,0,84
1.068452e+10,2.692081e+19,1.018060e+28,0,16
7.488930e+19,5.898684e+29,1.083875e+39,0,56
8.332922e+19,5.322901e+29,7.490788e+38,0,12
8.776261e+09,1.786462e+19,6.371583e+27,0,38
6.580375e+09,1.128332e+19,2.685537e+27,0,88
6.379531e+09,1.094746e+19,3.032456e+27,0,46
1.018299e+10,2.492752e+19,8.838050e+27,0,89
1.207652e+10,3.518296e+19,1.350878e+28,0,104
1.893915e+10,7.807267e+19,4.788656e+28,0,5
8.096027e+19,9.897735e+29,2.788036e+39,0,23
1.284254e+10,3.558456e+19,1.550385e+28,0,97
6.539100e+09,1.104650e+19,3.156373e+27,0,102
1.265834e+10,4.339226e+19,2.539290e+28,0,99
8.351186e+09,1.740607e+19,5.694369e+27,0,103
