m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,sample,subject,tp,exp
4.602618e+08,2.388235e+15,5.881795e+19,3.428855e+19,2.211315e+08,4.440258e+16,1.669574e+18,2.135279e+17,2.498243e+08,5.739984e+16,8.097268e+18,7.508191e+18,2.070165e+05,1.852397e+09,5.676662e+10,2.236939e+10,1.016366e+05,3.913924e+09,1.629617e+11,4.767928e+10,1.446697e+05,1.161690e+10,6.661837e+11,1.270855e+11,1.058711e+08,2.475383e+15,3.970290e+17,6.143758e+17,3.076517e+07,6.590013e+14,1.181072e+17,1.995841e+16,8.032942e+07,5.672772e+15,1.628537e+17,2.212253e+17,0,4,PR,SU
4.677642e+08,2.031287e+15,8.070474e+19,4.001840e+19,2.448133e+08,5.485633e+16,2.514925e+18,9.489198e+17,2.340719e+08,4.983538e+16,8.332910e+18,7.612670e+18,1.443729e+07,1.977089e+14,5.924012e+17,6.210226e+17,2.663542e+05,1.214697e+10,1.604014e+12,5.312654e+11,1.432718e+07,2.037879e+14,6.229392e+17,6.214247e+17,1.217539e+08,1.996913e+15,1.317945e+18,6.842615e+17,4.317007e+07,1.331080e+15,2.108213e+17,2.865469e+16,8.584288e+07,6.330718e+15,1.067955e+17,1.602734e+17,0,4,UFAU,1
4.282697e+08,4.071687e+14,5.258279e+19,2.282902e+19,2.208626e+08,4.470388e+16,2.131139e+18,3.756576e+17,2.174638e+08,4.315229e+16,3.534631e+18,3.328544e+18,3.696515e+07,2.337243e+14,1.198091e+17,2.816202e+17,1.317353e+07,1.454005e+14,2.227224e+16,2.442856e+16,2.492437e+07,5.741794e+14,7.166739e+16,8.450424e+16,8.355730e+07,5.584511e+14,2.367103e+18,1.327801e+18,3.321934e+07,8.379874e+14,4.452463e+16,4.597673e+16,5.581762e+07,2.566713e+15,2.303103e+17,3.302238e+17,0,4,O,MOUTH
4.285497e+08,3.404202e+15,7.849988e+19,3.797419e+19,2.116550e+08,4.067568e+16,7.318499e+17,8.470791e+16,2.269356e+08,4.747753e+16,6.942258e+18,6.823656e+18,1.802012e+07,2.305907e+14,2.877910e+17,6.230558e+17,2.265567e+06,4.017858e+12,2.350521e+15,2.779295e+15,1.632175e+07,2.482060e+14,4.353649e+17,4.974617e+17,1.321494e+08,2.072820e+15,2.037362e+18,7.778853e+17,4.718231e+07,1.570790e+15,3.146563e+17,8.443257e+16,9.266585e+07,7.347674e+15,6.690004e+16,1.194702e+17,0,4,YR,R10
4.194358e+08,4.168577e+15,9.788607e+19,3.611432e+19,2.293246e+08,4.831517e+16,1.252841e+18,3.417267e+17,1.998748e+08,3.632695e+16,5.632761e+18,5.433062e+18,4.040526e+06,1.407176e+13,3.169812e+16,3.526281e+16,1.911517e+05,1.017872e+10,1.096202e+12,3.355372e+11,3.941284e+06,1.516305e+13,3.529423e+16,3.506885e+16,1.453036e+08,1.208923e+15,3.190691e+18,7.164369e+17,6.101267e+07,2.726894e+15,5.744000e+17,8.857663e+16,9.349408e+07,7.293110e+15,2.425388e+16,6.637521e+16,0,4,LFAU,28
4.144048e+08,2.339075e+15,6.786691e+19,2.829319e+19,2.123343e+08,4.109516e+16,1.998093e+18,1.101357e+18,2.118662e+08,4.125579e+16,4.851892e+18,5.226934e+18,2.277019e+07,4.630140e+14,5.858332e+17,7.253721e+17,7.742388e+05,4.178402e+11,3.453610e+13,1.903526e+13,2.213128e+07,4.873947e+14,6.877133e+17,6.870229e+17,1.312894e+08,2.003014e+15,1.441322e+18,1.543196e+18,4.758278e+07,1.640313e+15,1.626193e+17,2.812055e+16,9.113634e+07,7.189704e+15,4.591278e+17,5.537825e+17,0,4,LFAU,10
3.889351e+08,1.607634e+15,7.398941e+19,3.453730e+19,2.146430e+08,4.219193e+16,1.127697e+18,1.320227e+17,1.837550e+08,3.045681e+16,5.722413e+18,5.705879e+18,2.969056e+07,4.769986e+14,6.379434e+16,2.736901e+17,4.060589e+06,1.440037e+13,2.651813e+14,3.300758e+13,2.589579e+07,6.580508e+14,2.065325e+17,2.084982e+17,1.414218e+08,8.031322e+13,7.876818e+18,2.656637e+18,7.050990e+07,4.052106e+15,2.149515e+17,2.509309e+16,7.788567e+07,5.139674e+15,2.057195e+17,3.004430e+17,0,4,LFAU,23
4.357574e+08,2.299880e+15,4.072273e+19,3.465023e+19,2.137932e+08,4.163190e+16,1.867341e+18,2.327488e+17,2.320306e+08,4.932018e+16,1.006206e+19,9.100065e+18,3.338703e+05,2.050584e+10,6.259328e+12,4.538073e+12,1.326855e+05,5.483730e+09,3.790602e+11,1.014537e+11,2.598346e+05,4.057770e+10,5.585584e+12,2.935478e+12,1.018788e+08,1.686596e+15,7.845805e+17,4.038667e+17,3.312372e+07,7.738841e+14,1.618311e+17,3.499286e+16,7.412104e+07,4.754661e+15,3.697698e+16,7.041251e+16,0,4,YR,R20
4.394703e+08,1.492999e+15,5.436399e+19,2.644071e+19,2.160418e+08,4.245040e+16,1.652290e+18,1.907310e+17,2.336836e+08,5.012086e+16,5.234702e+18,4.828045e+18,2.267399e+05,2.069189e+09,1.223810e+11,1.176185e+10,1.117224e+05,4.861992e+09,1.814058e+11,4.239051e+10,1.570839e+05,1.371875e+10,8.574996e+11,1.629459e+11,9.941290e+07,2.050284e+15,3.922838e+17,5.416756e+17,2.958289e+07,6.078593e+14,1.092291e+17,1.694049e+16,7.484856e+07,4.907686e+15,1.257880e+17,1.789503e+17,0,4,PR,U
5.111249e+08,3.162213e+15,8.823051e+19,2.265476e+19,2.751469e+08,7.085891e+16,1.695308e+18,7.236970e+17,2.461133e+08,5.616387e+16,1.638383e+18,1.670945e+18,5.827415e+06,3.136256e+13,1.206440e+17,1.245252e+17,1.565131e+05,5.139713e+09,3.803711e+11,1.541900e+11,5.755930e+06,3.263436e+13,1.257240e+17,1.252091e+17,1.363421e+08,3.156295e+15,8.038694e+17,1.273852e+18,4.642977e+07,1.614951e+15,3.118928e+17,1.188141e+17,9.706644e+07,8.351755e+15,6.998133e+17,8.194617e+17,0,4,LFAU,12
5.000079e+08,8.815787e+15,2.320771e+19,2.609935e+19,2.096664e+08,3.990693e+16,1.932224e+18,2.847870e+17,3.006542e+08,8.463785e+16,7.524664e+18,7.541213e+18,3.074229e+05,1.564200e+10,9.064613e+11,5.576192e+11,1.208047e+05,4.067677e+09,2.318918e+11,6.195452e+10,2.437897e+05,3.548288e+10,3.849228e+12,1.017943e+12,5.726684e+07,1.009461e+15,2.898873e+17,1.349464e+18,1.413802e+07,1.296328e+14,1.707499e+16,2.170128e+15,4.589517e+07,1.880572e+15,1.158162e+18,1.047653e+18,0,4,E,FEAR
5.269705e+08,6.319485e+15,8.955836e+19,2.385619e+19,2.845834e+08,7.508170e+16,5.075723e+18,3.716601e+18,2.530361e+08,5.917189e+16,2.193901e+18,2.173868e+18,1.513241e+07,2.176439e+14,5.316416e+17,5.524522e+17,3.184451e+05,4.171720e+10,2.550710e+12,1.675992e+12,1.496462e+07,2.222894e+14,5.479552e+17,5.467984e+17,1.169747e+08,2.318413e+15,1.678900e+18,9.152714e+17,3.778618e+07,9.864607e+14,1.452430e+17,3.133529e+16,8.586453e+07,6.402819e+15,1.660539e+17,2.334002e+17,0,4,LFAU,12L
3.237565e+08,2.881051e+15,7.969299e+19,2.587877e+19,1.828047e+08,3.054852e+16,2.645611e+17,2.503499e+17,1.490185e+08,2.030520e+16,2.084225e+18,2.410246e+18,4.470269e+07,4.864160e+14,3.705479e+16,6.501275e+17,1.210277e+07,1.123259e+14,6.221618e+15,6.809486e+14,3.410701e+07,1.065234e+15,3.914187e+17,4.317756e+17,1.179246e+08,9.617773e+13,6.455089e+18,3.014348e+18,6.533765e+07,3.606789e+15,1.080042e+17,2.079971e+16,5.790119e+07,2.818459e+15,3.599962e+17,4.660003e+17,0,4,LFAU,18
4.876429e+08,5.285789e+15,3.191729e+19,2.252238e+19,2.149856e+08,4.178511e+16,1.914509e+18,2.233430e+17,2.834595e+08,7.485720e+16,5.342898e+18,5.312985e+18,2.077872e+05,6.508671e+08,4.417867e+10,2.074038e+10,1.095369e+05,5.438577e+09,2.162850e+11,4.298396e+10,1.342608e+05,1.041312e+10,4.566667e+11,1.083371e+11,8.196381e+07,2.654304e+15,1.211185e+17,9.006114e+17,1.676899e+07,1.882007e+14,2.012840e+16,2.586467e+15,6.826899e+07,4.271310e+15,7.492204e+17,6.541359e+17,0,4,E,SURPRISE
3.429866e+08,1.347133e+16,5.365190e+19,2.377437e+19,1.638666e+08,2.414620e+16,2.603652e+18,1.765909e+18,1.877592e+08,3.217836e+16,1.056832e+19,1.022739e+19,4.711491e+06,1.929290e+13,7.606777e+16,8.640773e+16,2.333675e+05,1.953271e+10,3.478701e+12,1.030102e+12,4.573658e+06,2.040734e+13,8.332183e+16,8.308319e+16,1.068471e+08,1.605335e+15,1.160994e+18,2.104427e+17,3.701105e+07,9.196605e+14,2.350017e+17,5.675418e+16,7.656829e+07,4.940042e+15,1.565549e+15,9.346996e+15,0,4,YR,R30
4.519895e+08,1.406942e+15,7.702584e+19,3.835966e+19,2.266134e+08,4.679649e+16,1.579131e+18,3.079153e+17,2.358370e+08,5.095825e+16,8.170822e+18,7.617120e+18,3.699580e+06,1.240039e+13,5.298434e+16,5.374417e+16,1.244024e+05,2.909736e+09,2.071128e+11,9.030792e+10,3.645659e+06,1.298185e+13,5.457317e+16,5.433233e+16,1.346482e+08,2.604903e+15,2.051510e+18,6.413733e+17,4.578802e+07,1.453166e+15,2.987028e+17,4.689226e+16,9.671517e+07,8.019323e+15,4.512379e+16,9.521549e+16,0,4,PR,SD
3.529759e+08,1.164571e+16,2.596703e+19,1.888141e+19,1.675164e+08,2.517614e+16,2.406898e+18,1.415726e+18,1.945030e+08,3.440758e+16,8.865151e+18,7.450864e+18,2.216190e+05,1.824120e+09,1.688726e+12,8.102540e+11,1.238904e+05,6.213218e+09,5.981304e+11,1.194823e+11,1.433431e+05,9.994389e+09,1.469197e+12,5.197731e+11,1.004899e+08,2.729995e+15,5.550635e+17,1.498913e+17,2.723079e+07,5.125752e+14,8.918338e+16,1.392107e+16,7.796308e+07,5.401105e+15,5.343345e+15,1.188827e+16,0,4,CR,RD
3.902554e+08,1.133313e+15,6.892548e+19,3.372158e+19,2.057299e+08,3.871573e+16,8.571415e+17,1.266570e+17,1.936451e+08,3.421682e+16,6.067099e+18,6.118578e+18,2.950876e+07,5.146333e+14,1.432125e+17,3.628152e+17,3.553045e+06,1.089465e+13,1.910690e+14,2.605928e+13,2.620843e+07,6.741074e+14,2.942401e+17,2.988251e+17,1.260784e+08,3.883372e+14,4.585603e+18,1.508457e+18,5.717104e+07,2.538196e+15,1.891119e+17,2.444855e+16,7.580013e+07,4.817008e+15,1.177113e+17,1.697862e+17,0,4,LFAU,22
4.493552e+08,7.058434e+15,3.285812e+19,2.825493e+19,1.905893e+08,3.278341e+16,1.491692e+18,2.368540e+17,2.687111e+08,6.716759e+16,9.316945e+18,9.672036e+18,1.770903e+05,1.013724e+09,5.141497e+10,2.840016e+10,8.842137e+04,3.255333e+09,1.245677e+11,2.678047e+10,1.201178e+05,8.615130e+09,4.158829e+11,1.134610e+11,8.310606e+07,2.400206e+15,1.847012e+17,1.518915e+18,1.887852e+07,2.389284e+14,3.628715e+16,6.826026e+15,6.780897e+07,4.129587e+15,1.044737e+18,1.045532e+18,0,4,LFAU,27
4.971744e+08,1.255700e+15,5.783618e+19,4.117435e+19,2.399714e+08,5.239434e+16,1.959578e+18,2.505454e+17,2.685319e+08,6.637984e+16,1.017333e+19,9.241132e+18,4.315736e+05,5.769331e+10,6.514106e+13,7.130919e+13,1.192246e+05,5.406278e+09,2.422172e+11,5.326465e+10,3.582431e+05,9.779255e+10,7.736929e+13,7.211933e+13,1.235494e+08,2.685949e+15,6.167569e+17,5.230876e+17,3.895340e+07,1.085738e+15,2.075314e+17,2.703418e+16,9.064192e+07,7.162279e+15,1.722868e+17,1.383977e+17,0,4,LFAU,17
4.542945e+08,9.296470e+14,5.593961e+19,3.509089e+19,2.259757e+08,4.619024e+16,2.620649e+18,5.823210e+17,2.396644e+08,5.215228e+16,9.649838e+18,8.495717e+18,2.208806e+05,2.548431e+09,2.646782e+10,2.721205e+09,1.071883e+05,4.230411e+09,1.753651e+11,4.175268e+10,1.560215e+05,1.392305e+10,6.710869e+11,1.143574e+11,1.394797e+08,5.237232e+15,3.674840e+18,6.871400e+16,3.726028e+07,9.746537e+14,1.594770e+17,2.246977e+16,1.085322e+08,1.059788e+16,5.416269e+17,4.076404e+17,0,4,UFAU,4
5.028984e+08,5.692226e+14,5.291326e+19,5.566352e+19,2.617152e+08,6.303658e+16,3.060173e+18,7.804909e+17,2.521323e+08,5.833839e+16,1.642362e+19,1.667301e+19,7.540147e+06,5.297189e+13,2.112190e+17,2.134673e+17,1.964690e+05,5.052791e+09,4.195132e+11,2.880938e+11,7.472962e+06,5.486521e+13,2.167223e+17,2.160141e+17,1.383409e+08,3.436183e+15,1.739115e+18,3.073196e+17,4.423577e+07,1.331786e+15,2.512644e+17,3.103913e+16,1.021010e+08,9.046676e+15,2.903361e+14,1.509964e+16,0,4,O,GLASSES
3.858051e+08,9.433823e+15,1.393079e+19,2.704142e+19,1.804190e+08,2.941253e+16,2.072762e+18,8.356960e+17,2.144549e+08,4.225700e+16,1.333929e+19,1.198881e+19,2.132360e+05,1.753249e+09,3.268002e+09,6.751066e+10,1.060462e+05,4.492164e+09,2.858797e+11,8.675853e+10,1.463228e+05,1.194674e+10,6.434897e+11,1.124904e+11,8.704252e+07,2.213074e+15,1.529005e+17,3.196225e+17,2.188403e+07,3.362390e+14,4.809570e+16,6.640718e+15,6.873951e+07,4.253790e+15,9.824584e+16,1.124008e+17,0,4,CR,RU
5.404401e+08,3.015325e+15,7.487769e+19,2.616369e+19,2.688247e+08,6.724379e+16,4.325602e+18,2.708778e+18,2.826446e+08,7.390465e+16,3.200246e+18,3.310435e+18,2.150156e+07,4.011703e+14,3.512329e+17,4.654125e+17,8.651264e+05,5.009858e+11,2.983520e+13,1.110687e+13,2.080038e+07,4.296705e+14,4.361231e+17,4.359274e+17,1.222353e+08,1.973302e+15,7.329134e+17,1.102881e+18,4.432253e+07,1.452316e+15,1.931191e+17,8.154479e+16,8.460680e+07,6.275668e+15,4.247645e+17,5.244164e+17,0,4,E,DISGUST
2.629851e+08,2.414502e+16,5.211372e+19,1.221144e+19,1.120627e+08,1.104868e+16,3.511015e+18,2.854093e+18,1.579573e+08,2.283035e+16,1.171825e+19,1.175995e+19,7.243771e+06,5.058709e+13,1.983651e+17,2.030104e+17,1.374254e+05,1.170828e+09,2.246988e+11,1.834919e+11,7.242345e+06,5.136959e+13,2.052853e+17,2.047547e+17,8.063610e+07,2.201928e+15,2.394024e+17,1.125619e+17,2.013765e+07,2.477164e+14,4.284267e+16,6.037367e+15,6.593736e+07,3.717215e+15,4.562171e+15,2.169800e+16,0,4,YR,R45
4.581908e+08,5.048694e+14,5.665862e+19,3.254612e+19,2.270292e+08,4.687554e+16,1.992080e+18,2.354066e+17,2.417511e+08,5.357841e+16,7.308738e+18,6.373846e+18,1.211143e+06,1.018856e+12,4.148513e+15,4.147278e+15,1.316482e+05,5.325883e+09,2.101682e+11,6.710103e+10,1.139102e+06,1.177449e+12,4.263776e+15,4.213698e+15,1.118869e+08,2.465531e+15,6.903410e+17,6.332636e+17,3.424505e+07,8.118992e+14,1.502297e+17,1.847368e+16,8.344761e+07,6.072716e+15,1.071859e+17,1.719372e+17,0,4,UFAU,2
4.812772e+08,5.612406e+14,6.876108e+19,3.741888e+19,2.494276e+08,5.660289e+16,2.028325e+18,2.746524e+17,2.435911e+08,5.400745e+16,7.055365e+18,6.558380e+18,2.400842e+05,7.155734e+09,3.328444e+12,3.491549e+12,9.688643e+04,3.812083e+09,1.739813e+11,3.754141e+10,1.785463e+05,2.102458e+10,5.430629e+12,3.664461e+12,1.338999e+08,3.180804e+15,1.326948e+18,7.838097e+17,4.273327e+07,1.263211e+15,2.482251e+17,3.086633e+16,9.845924e+07,8.422806e+15,8.932181e+16,1.606168e+17,0,4,E,ANGER
4.590642e+08,1.450663e+15,5.732412e+19,3.754090e+19,2.216911e+08,4.470378e+16,1.645763e+18,2.267909e+17,2.479120e+08,5.654771e+16,9.455444e+18,8.840904e+18,2.777390e+05,9.084736e+09,2.716428e+12,2.408196e+12,1.143922e+05,5.170002e+09,2.953714e+11,5.691272e+10,2.058519e+05,2.715559e+10,3.505638e+12,2.138192e+12,1.168871e+08,2.598973e+15,7.912989e+17,7.019915e+17,3.585258e+07,9.147996e+14,1.686165e+17,3.095447e+16,8.680892e+07,6.607385e+15,1.376259e+17,2.006104e+17,0,4,N,N
1.273665e+08,9.331173e+15,2.499834e+18,9.784315e+17,2.094164e+07,3.340117e+14,2.393266e+16,5.314184e+15,1.113560e+08,1.132653e+16,1.583494e+18,1.310944e+18,1.539757e+05,1.819831e+10,4.268131e+12,4.732957e+12,3.030120e+04,4.373821e+08,5.279054e+10,4.377705e+10,1.352706e+05,1.548121e+10,2.951708e+12,2.574295e+12,6.844692e+07,3.607666e+15,2.125140e+17,1.107402e+17,5.965010e+06,2.179435e+13,2.134892e+15,1.561049e+15,6.526637e+07,3.921760e+15,2.352054e+17,1.434302e+17,0,4,YR,L90
4.600725e+08,3.046984e+15,8.773391e+19,3.610031e+19,2.382229e+08,5.210177e+16,1.550003e+18,6.247445e+17,2.321859e+08,4.954880e+16,6.617349e+18,6.098116e+18,3.853136e+06,1.344328e+13,5.467195e+16,5.555943e+16,1.338373e+05,4.010173e+09,2.232837e+11,1.056779e+11,3.793126e+06,1.404925e+13,5.620071e+16,5.596323e+16,1.346835e+08,1.844365e+15,2.075359e+18,7.253210e+17,5.059227e+07,1.866412e+15,3.739011e+17,7.897700e+16,9.205469e+07,7.232026e+15,1.009617e+17,1.443234e+17,0,4,LFAU,24
