l1,l2,l3,sample,subject
1.496696e+08,3.785899e+15,9.537493e+21,3,62
1.718483e+08,3.811238e+15,1.441501e+22,0,53
7.223838e+08,8.269974e+16,6.829727e+23,1,33
2.948297e+08,8.258861e+15,2.030851e+22,0,79
9.551940e+06,3.329534e+12,2.254750e+17,0,92
1.775602e+08,4.751698e+15,1.594217e+22,1,82
8.796317e+06,1.062030e+13,5.945039e+17,1,90
9.139919e+07,4.552174e+14,2.660870e+20,2,58
3.279252e+07,1.714715e+14,1.414811e+20,0,39
3.708883e+08,2.596195e+16,7.167000e+22,2,68
1.551809e+08,1.885798e+15,1.831511e+21,2,71
1.582771e+08,2.031398e+15,5.076345e+21,0,17
3.076947e+08,1.589006e+16,8.575800e+22,1,96
2.958124e+08,7.266731e+15,2.132827e+22,3,77
5.813162e+07,2.958721e+14,2.616137e+20,2,75
6.103244e+07,4.807104e+14,4.507873e+20,3,63
7.836671e+07,1.174769e+15,2.117625e+21,2,67
3.320155e+08,8.876088e+15,3.029802e+22,3,97
2.629291e+08,1.218214e+16,3.244813e+22,0,73
3.556568e+08,1.612567e+16,1.026609e+23,2,94
7.088041e+08,9.814970e+16,1.448515e+24,1,87
9.214097e+07,5.046148e+14,2.486699e+20,0,15
3.079715e+08,1.342782e+16,8.690647e+22,0,38
1.671041e+09,5.039404e+17,1.743615e+25,2,72
1.196434e+08,1.920411e+15,2.595137e+21,0,48
2.911003e+08,5.287473e+15,1.090520e+22,0,99
1.604233e+08,1.154684e+15,1.266839e+21,0,100
1.693665e+08,3.276036e+15,7.268836e+21,2,60
2.831324e+08,1.392675e+16,5.397687e+22,0,23
2.813828e+08,1.316340e+16,5.375378e+22,0,49
6.146915e+07,5.374784e+14,5.567048e+20,0,94
2.637353e+08,1.020512e+16,5.384962e+22,1,38
1.226304e+08,1.838789e+15,2.888679e+21,3,92
3.764572e+08,2.702747e+16,2.767310e+23,3,81
2.790930e+08,1.212575e+16,4.055974e+22,0,88
3.362675e+08,2.188905e+16,1.244772e+23,1,81
2.359522e+08,6.084549e+15,1.574558e+22,1,69
2.658477e+08,9.143321e+15,5.443395e+22,0,54
4.320160e+08,3.814925e+16,4.857539e+23,1,56
2.309129e+08,5.939388e+15,1.707236e+22,0,85
5.442114e+08,5.135335e+16,3.055954e+23,3,47
2.803537e+06,4.735605e+11,1.482088e+16,0,58
6.251437e+08,7.690390e+16,1.482373e+24,2,54
1.727481e+07,1.719105e+13,3.349064e+18,3,55
5.907632e+07,2.380528e+14,1.333319e+20,1,58
7.305418e+08,1.056179e+17,2.334349e+24,0,2
2.860132e+08,1.361143e+16,6.619426e+22,1,46
1.293488e+08,1.465304e+15,1.399826e+21,0,101
4.476480e+08,4.516050e+16,4.847874e+23,0,43
9.366750e+07,8.935165e+14,1.382818e+21,0,42
3.211664e+08,1.616943e+16,1.217803e+23,2,93
1.296381e+08,7.608047e+14,6.094969e+20,0,103
1.778607e+08,2.616265e+15,4.292560e+21,2,85
3.501171e+08,2.262954e+16,1.420270e+23,1,77
5.288166e+08,5.787307e+16,5.950460e+23,1,91
1.038410e+09,2.205891e+17,6.776501e+24,2,87
4.376139e+08,3.763096e+16,2.990285e+23,1,43
4.411303e+08,2.098741e+16,6.600546e+22,3,88
8.795157e+07,8.373580e+14,1.444673e+21,1,45
4.561486e+07,9.113845e+13,3.802627e+19,3,102
1.299560e+08,1.513940e+15,2.743739e+21,0,52
8.263555e+07,1.263297e+15,3.661435e+21,1,53
6.195696e+08,6.395155e+16,8.555040e+23,1,34
6.287369e+08,5.120455e+16,2.969226e+23,1,100
6.358192e+08,7.449547e+16,1.127393e+24,1,93
6.020863e+08,6.308470e+16,7.002504e+23,2,73
3.843957e+07,9.323188e+13,4.818817e+19,0,75
1.112140e+08,2.848653e+15,1.341372e+22,2,83
1.883249e+08,6.418865e+15,2.986589e+22,1,83
5.147265e+08,3.744951e+16,2.989514e+23,0,47
6.576791e+08,1.082408e+17,4.085358e+24,1,36
1.427290e+08,9.798647e+14,9.570540e+20,0,1
2.118718e+08,4.796759e+15,1.202388e+22,2,55
6.914322e+07,6.743857e+14,7.806836e+20,3,76
3.372078e+07,1.839296e+14,1.220575e+20,0,65
3.795173e+08,1.350624e+16,5.539273e+22,0,104
3.956242e+08,3.330323e+16,3.048737e+23,0,6
6.070504e+08,2.436786e+16,7.625327e+22,0,51
3.204541e+08,1.338046e+16,5.697074e+22,1,98
2.659232e+07,1.399264e+14,1.230155e+20,1,80
6.948562e+07,6.979842e+14,9.481265e+20,0,71
6.194718e+08,9.082527e+16,2.079293e+24,1,78
4.091279e+07,2.636689e+14,1.496573e+20,0,90
2.791840e+08,9.191728e+15,2.867160e+22,3,57
3.668011e+08,2.092871e+16,9.399421e+22,0,20
2.304346e+08,6.203347e+15,1.290555e+22,2,57
3.315866e+08,1.351485e+16,3.571007e+22,2,103
1.981717e+07,2.216074e+13,1.992841e+18,2,88
1.844296e+08,3.383361e+15,8.465822e+21,0,82
6.774281e+07,4.392625e+14,6.288319e+20,3,50
4.286665e+08,2.594219e+16,1.163664e+23,0,35
2.658548e+08,1.677038e+16,1.449832e+23,1,85
3.717722e+07,1.386597e+14,3.848697e+19,0,89
2.548694e+08,7.205508e+15,2.279054e+22,2,56
8.867348e+07,3.842235e+14,2.309512e+20,1,79
5.344675e+08,4.273239e+16,3.621956e+23,0,69
3.238622e+08,1.555290e+16,7.369189e+22,2,96
5.931303e+08,6.313903e+16,9.425082e+23,0,87
3.136578e+08,1.204251e+16,4.084132e+22,0,21
2.995164e+08,1.418294e+16,5.716496e+22,0,46
1.568236e+08,3.918725e+15,9.817186e+21,1,89
1.717562e+08,3.046334e+15,3.949786e+21,1,60
5.158895e+07,4.022307e+14,4.746484e+20,1,37
2.501185e+08,1.097694e+16,3.717299e+22,1,76
6.949072e+08,9.735954e+16,1.555050e+24,3,67
9.128140e+08,1.520008e+17,3.223500e+24,0,44
8.511789e+07,1.008601e+15,8.172320e+20,1,101
9.073494e+07,1.113116e+15,2.521874e+21,1,74
3.303360e+08,1.349604e+16,5.318017e+22,2,74
3.598833e+08,2.249679e+16,1.760210e+23,1,25
2.209302e+07,6.353579e+13,1.779699e+19,3,94
1.820971e+08,5.870425e+15,2.797645e+22,1,68
1.703779e+07,2.174915e+13,6.505009e+18,3,58
8.372851e+07,9.812922e+14,1.439757e+21,0,31
9.755581e+07,9.437534e+14,1.098192e+21,3,52
5.794160e+08,3.025477e+16,1.367577e+23,0,33
8.835238e+07,1.375516e+15,8.681862e+20,2,90
2.438815e+08,8.666354e+15,4.035777e+22,1,42
3.064296e+07,5.660946e+13,3.710115e+18,1,50
2.659218e+08,7.354051e+15,2.194470e+22,1,102
6.274059e+08,8.806167e+16,1.287264e+24,3,73
5.356254e+08,4.353785e+16,4.255937e+23,2,77
2.957154e+08,5.773795e+15,4.007317e+21,3,65
1.278388e+08,1.907618e+15,4.762547e+21,0,57
1.786188e+08,2.386692e+15,3.898743e+21,1,51
1.036800e+08,1.643642e+15,3.650744e+21,3,51
9.329826e+07,1.176781e+15,1.223405e+21,0,66
2.009315e+07,1.264645e+13,1.109544e+18,0,60
1.049481e+08,1.522718e+15,2.838907e+21,2,12
1.753780e+07,3.034438e+13,1.386713e+18,1,66
1.020095e+08,1.189544e+15,1.146024e+21,2,95
5.077213e+08,3.128369e+16,2.517147e+23,1,44
5.981337e+08,6.746573e+16,7.393036e+23,3,87
3.626902e+07,6.023974e+13,2.256074e+19,1,71
3.250808e+08,2.152021e+16,1.159916e+23,2,86
8.813679e+07,1.245002e+15,2.822295e+21,0,37
1.314680e+07,9.970123e+12,9.046762e+17,1,41
5.690099e+08,5.890876e+16,6.732090e+23,3,82
1.010174e+08,1.013205e+15,1.374404e+21,2,89
6.209295e+07,5.683256e+14,6.195434e+20,0,50
2.375598e+07,2.687405e+13,3.750411e+18,2,101
4.117889e+07,1.920578e+14,9.995064e+19,0,29
2.608623e+08,1.231464e+16,5.165613e+22,0,81
4.817016e+08,2.098559e+16,9.301100e+22,1,97
6.589679e+08,9.049360e+16,1.184295e+24,1,67
3.505068e+08,2.237279e+16,1.415718e+23,0,78
4.284795e+08,2.355006e+16,1.687332e+23,2,78
4.147113e+08,2.182207e+16,1.278628e+23,2,47
2.165613e+08,3.830981e+15,6.400120e+21,2,63
1.113078e+09,2.152462e+17,4.839543e+24,0,72
2.454128e+08,1.050675e+16,9.741405e+22,0,9
3.965756e+08,1.437034e+16,6.212794e+22,3,85
1.518382e+08,2.518736e+15,5.914237e+21,2,70
1.954304e+08,5.304442e+15,1.730186e+22,2,59
2.166606e+08,6.168861e+15,1.434226e+22,1,12
1.202198e+08,1.256675e+15,1.487713e+21,3,83
7.428051e+07,1.224723e+15,2.935214e+21,0,62
3.196987e+08,1.381502e+16,4.302038e+22,3,64
1.464286e+08,2.754745e+15,5.187662e+21,2,69
4.481420e+08,1.916892e+16,5.552410e+22,1,47
8.516074e+07,8.324686e+14,1.116792e+21,1,75
1.262342e+08,1.661982e+15,1.998805e+21,1,59
1.446497e+08,2.479070e+15,4.755715e+21,0,12
3.296048e+08,1.604296e+16,6.573453e+22,0,40
3.049283e+08,1.369938e+16,1.002110e+23,0,64
6.107954e+07,3.612839e+14,3.941992e+20,3,66
1.645903e+09,5.647602e+17,2.783891e+25,1,72
6.014712e+08,7.933485e+16,1.388831e+24,0,4
1.063197e+08,1.303132e+15,3.027875e+21,2,50
1.108998e+08,1.496510e+15,2.344239e+21,0,61
1.905569e+07,3.742962e+13,2.127583e+18,3,60
9.152580e+07,1.020983e+15,2.657593e+21,3,75
2.220610e+08,9.972238e+15,2.467602e+22,1,62
2.204387e+08,4.047493e+15,6.809983e+21,2,80
2.965092e+08,7.125997e+15,2.907485e+22,0,91
9.947750e+07,1.019147e+15,6.527639e+20,1,95
8.201774e+07,7.360217e+14,9.120592e+20,1,103
2.659782e+08,9.723670e+15,4.033000e+22,0,68
5.143964e+08,3.392022e+16,1.601248e+23,2,104
1.372813e+08,1.790536e+15,3.841688e+21,2,52
1.865742e+08,7.192981e+15,2.270618e+22,3,89
2.213148e+08,5.267588e+15,1.688458e+22,0,30
2.787661e+08,1.215864e+16,5.650317e+22,3,104
1.660825e+08,3.467583e+15,9.538261e+21,0,45
2.948176e+08,6.293851e+15,1.838447e+22,1,70
3.399865e+08,1.514630e+16,5.849650e+22,1,99
2.652291e+08,5.947918e+15,1.918683e+22,2,98
8.701167e+07,4.727970e+14,3.240254e+20,0,19
3.700118e+08,3.060332e+16,2.827694e+23,3,69
3.129633e+08,8.499979e+15,4.533748e+22,0,24
3.440826e+08,2.121573e+16,1.558988e+23,3,70
1.643990e+08,4.013628e+15,1.601380e+22,2,100
9.401013e+07,6.559347e+14,4.132417e+20,3,103
3.713156e+08,2.453297e+16,2.568195e+23,0,93
3.621829e+07,2.724000e+14,1.646297e+20,3,71
1.515558e+08,3.985796e+15,1.667868e+22,3,53
4.854284e+08,3.701369e+16,3.976735e+23,3,54
3.732947e+08,1.411658e+16,3.528546e+22,3,100
2.353449e+08,7.796181e+15,3.067409e+22,0,77
3.793831e+07,5.792411e+13,2.240251e+19,2,48
4.872160e+07,1.231104e+14,6.481940e+19,3,74
4.546257e+08,2.725409e+16,1.648325e+23,0,41
3.489306e+08,1.579863e+16,6.966499e+22,3,84
3.383291e+08,1.454200e+16,7.827248e+22,0,7
2.947735e+08,5.784141e+15,8.073702e+21,2,65
9.892979e+08,2.221025e+17,7.503762e+24,0,5
1.973778e+08,8.919827e+15,4.843458e+22,2,49
