l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,sample,subject
1.787153e+08,2.199803e+16,5.722725e+10,5.933050e+10,3.456252e+21,8.796993e+18,3.590970e+21,1.742286e+07,1.710716e+14,4.499712e+07,4.604870e+06,2.608282e+13,-6.353155e+12,2.941471e+13,1.656429e+08,2.644295e+16,5.810693e+10,5.916980e+10,3.469406e+21,9.597699e+18,3.174030e+20,3,91
4.357982e+08,5.596459e+16,1.688821e+09,2.823375e+09,6.142920e+18,6.198107e+17,6.798779e+18,1.255676e+08,5.567352e+15,1.712351e+09,2.033398e+08,-1.085621e+17,-1.392604e+16,-1.095720e+17,3.615751e+08,1.088040e+17,1.838101e+09,2.440143e+09,5.159646e+18,6.553600e+17,-9.146137e+17,0,16
2.158289e+08,2.095875e+16,1.054030e+10,1.692729e+10,2.260892e+20,2.418328e+18,2.536279e+20,3.820064e+07,1.095257e+15,1.109258e+08,1.350193e+07,-1.790543e+14,-2.812152e+14,-1.472857e+14,1.827399e+08,3.184365e+16,1.442485e+10,1.531426e+10,2.276119e+20,2.717104e+18,-3.785236e+18,3,99
1.351445e+08,1.130043e+16,1.829096e+10,2.206041e+10,4.429677e+20,2.340790e+18,5.057788e+20,1.694201e+07,1.433317e+14,8.477533e+07,6.425433e+06,-1.421994e+14,-7.511421e+13,-1.258071e+14,1.231895e+08,1.397349e+16,2.196090e+10,2.164298e+10,4.717962e+20,2.492249e+18,-9.191422e+19,3,78
6.939081e+07,3.590808e+15,1.456691e+08,6.680532e+08,1.737391e+17,3.834099e+16,2.805385e+17,5.613686e+06,1.700266e+13,9.604875e+06,9.967753e+05,-1.749500e+12,-3.116558e+12,-1.031783e+12,6.527311e+07,4.076280e+15,2.088842e+09,6.227414e+08,5.810108e+17,1.534785e+16,2.888915e+17,2,102
9.949716e+07,6.061106e+15,5.370938e+09,8.490689e+09,5.720783e+19,6.580547e+17,4.241017e+19,1.376892e+07,6.241176e+13,1.512290e+08,2.294931e+07,-1.202707e+15,-1.691617e+14,-1.184759e+15,9.161673e+07,7.659721e+15,9.368533e+09,7.628514e+09,6.439051e+19,5.808409e+17,-1.498375e+19,0,22
3.038440e+07,5.686688e+14,2.401758e+09,5.489249e+07,-1.522638e+16,-4.191136e+14,-2.749828e+16,3.768972e+06,8.835603e+12,6.956060e+07,1.176685e+07,1.003458e+14,-2.072413e+12,1.274690e+14,2.742992e+07,7.219684e+14,7.096062e+08,2.016197e+08,6.168210e+16,2.029134e+15,1.716431e+16,1,84
1.378580e+08,1.076279e+16,1.336831e+10,2.348767e+10,4.161441e+20,2.435282e+18,4.536525e+20,2.227280e+07,1.411086e+14,4.585190e+08,5.579351e+07,-8.881939e+15,-6.624827e+14,-9.041186e+15,1.259934e+08,1.410554e+16,1.766940e+10,2.173063e+10,4.257689e+20,2.534853e+18,2.941729e+19,2,82
6.358409e+07,3.332612e+15,6.114639e+09,1.109969e+10,9.141734e+19,6.397685e+17,9.823439e+19,3.759322e+06,4.437375e+12,2.351492e+07,5.757506e+06,-6.645374e+13,-1.212494e+13,-7.275070e+13,6.147758e+07,3.685058e+15,1.427077e+10,1.145188e+10,1.462990e+20,6.468172e+17,1.511681e+20,3,68
9.834930e+07,6.597784e+15,4.400712e+09,3.004446e+09,1.090095e+19,2.432877e+17,9.203229e+18,9.543848e+06,5.957372e+13,9.170191e+06,1.332956e+06,-8.506566e+11,-4.716046e+12,-2.370363e+11,9.065406e+07,7.943501e+15,3.779471e+09,3.452232e+09,1.246960e+19,3.005788e+17,7.229323e+18,3,80
3.028626e+07,6.955117e+14,4.031022e+10,4.842257e+10,2.139297e+21,1.277024e+18,2.455169e+21,2.521681e+06,2.588069e+12,1.788754e+07,2.910546e+06,1.783309e+13,1.286209e+12,2.431824e+13,2.867879e+07,7.715815e+14,4.577903e+10,4.641833e+10,2.139718e+21,1.285018e+18,-2.911364e+20,1,10
9.188815e+07,3.753913e+15,8.793211e+09,3.146550e+09,1.649246e+19,1.926772e+17,1.866295e+19,1.731454e+07,1.822070e+14,1.729200e+08,2.535047e+07,-2.955873e+14,-1.465410e+14,5.211297e+12,7.843129e+07,5.675897e+15,3.928074e+09,4.377277e+09,1.815080e+19,3.253591e+17,-5.602471e+17,0,56
2.583595e+08,4.443815e+15,1.046141e+08,5.283040e+09,-2.683938e+18,3.293699e+17,-4.504317e+18,1.037111e+08,7.775416e+15,1.116154e+09,2.407050e+08,6.141500e+16,1.137835e+14,1.055389e+17,1.701944e+08,2.429944e+16,2.621453e+09,3.042891e+09,8.592831e+18,4.459764e+17,-1.674125e+18,1,86
3.050040e+08,3.204407e+16,1.813736e+09,6.264873e+09,2.106856e+19,1.115726e+18,2.412736e+19,8.049337e+07,2.134666e+15,1.277619e+09,1.598078e+08,-5.118609e+16,-6.096910e+15,-5.065707e+16,2.588202e+08,5.804809e+16,3.409887e+09,5.496568e+09,2.373442e+19,1.288500e+18,6.062929e+18,1,73
7.363798e+07,2.770114e+15,3.640659e+09,3.685419e+09,1.348033e+19,1.933561e+17,1.398866e+19,1.354162e+07,5.916890e+13,1.409740e+08,1.000148e+07,-3.148312e+14,-7.112047e+13,-2.649339e+14,6.595805e+07,3.708218e+15,4.492232e+09,3.813023e+09,1.577829e+19,2.068792e+17,-2.978959e+18,1,40
2.275667e+07,3.025266e+14,5.209233e+07,5.104961e+08,7.572154e+16,8.382969e+15,1.082894e+17,3.341389e+06,4.283601e+12,9.690166e+06,1.943451e+06,4.907901e+12,-1.641579e+11,4.748573e+12,2.069375e+07,4.119852e+14,4.154890e+08,3.392415e+08,1.273217e+17,6.870348e+15,8.994424e+16,2,76
2.906377e+07,3.531337e+14,7.328466e+09,6.243971e+09,4.204775e+19,1.173127e+17,3.786654e+19,5.575718e+06,2.384282e+13,1.003918e+07,3.590537e+06,2.127056e+13,1.195798e+13,6.345217e+12,2.418406e+07,5.531089e+14,5.994461e+09,6.644847e+09,4.193619e+19,1.559299e+17,-9.621191e+17,0,76
2.168271e+07,2.558026e+14,2.090998e+09,2.620522e+08,1.792193e+17,3.939474e+15,1.015396e+17,3.292736e+06,6.336710e+12,2.858793e+07,2.308981e+06,-1.019964e+13,-3.696765e+12,-9.510287e+12,1.919702e+07,3.456312e+14,5.826667e+08,5.178405e+08,2.842937e+17,9.143669e+15,-4.856438e+16,2,53
1.862784e+07,2.717061e+14,1.423544e+09,1.028167e+09,1.243886e+18,1.694684e+16,1.377278e+18,1.382678e+06,6.489712e+11,1.215792e+06,2.310027e+04,-1.550141e+09,-9.706913e+09,-4.700467e+07,1.782230e+07,3.007358e+14,1.116026e+09,1.137569e+09,1.281435e+18,1.916929e+16,-1.917936e+17,1,65
2.196913e+08,1.085098e+16,1.566835e+10,5.611410e+10,1.663685e+21,5.785703e+18,1.387346e+21,6.810326e+07,2.263204e+15,2.185374e+09,1.463160e+08,-3.770207e+16,-5.089817e+15,-2.515411e+16,1.722036e+08,2.301399e+16,4.213050e+10,4.691693e+10,2.076850e+21,6.885153e+18,-3.382739e+20,0,32
3.060279e+08,4.177401e+16,3.412347e+08,4.031142e+09,4.675710e+18,7.878357e+17,3.171253e+18,5.621778e+07,2.074117e+15,2.032853e+08,5.064771e+07,3.287650e+15,3.162432e+14,2.811092e+15,2.604867e+08,6.298981e+16,2.702262e+09,2.818822e+09,7.779529e+18,6.684032e+17,-1.570668e+18,3,98
8.503745e+07,2.673724e+15,1.742910e+10,3.319930e+10,7.981794e+20,1.709274e+18,8.715594e+20,2.018157e+07,1.869155e+14,3.482720e+08,1.355796e+07,-8.271740e+14,-1.809302e+14,-8.715560e+14,7.140503e+07,4.245318e+15,2.825078e+10,2.956119e+10,8.530936e+20,1.878187e+18,-1.183506e+20,0,10
1.200309e+08,9.833101e+15,6.369774e+08,1.457641e+09,1.126793e+18,1.181353e+17,-8.281630e+17,1.189098e+07,8.137878e+13,7.977214e+07,1.979062e+07,2.742905e+14,-1.596278e+13,5.235663e+14,1.110181e+08,1.192286e+16,2.522495e+09,1.088452e+09,1.698408e+18,7.831818e+16,2.381204e+18,2,99
2.611200e+07,3.208777e+14,1.454574e+10,1.073581e+10,1.340293e+20,1.915178e+17,1.368903e+20,4.962936e+06,1.144622e+13,4.925887e+07,4.371414e+06,6.198195e+12,-7.117178e+12,1.421089e+13,2.277493e+07,4.586866e+14,9.720673e+09,1.230978e+10,1.346314e+20,2.601799e+17,-7.504775e+17,3,61
4.155780e+07,1.480675e+15,4.178304e+08,1.939957e+08,5.522526e+16,7.454439e+15,6.222856e+16,1.687589e+06,2.003490e+12,1.507145e+05,9.514613e+04,1.133645e+10,1.118321e+11,1.226014e+10,4.014250e+07,1.592063e+15,4.067178e+08,2.600275e+08,8.400045e+16,9.070303e+15,8.706814e+16,3,95
5.612160e+07,2.408961e+15,1.869944e+10,1.813112e+10,3.337618e+20,8.898908e+17,3.439324e+20,4.482760e+06,6.714900e+12,6.730452e+06,5.520909e+05,1.022205e+12,1.301449e+12,4.324650e+11,5.356386e+07,2.678300e+15,1.722631e+10,1.865857e+10,3.344730e+20,9.604765e+17,-1.722216e+19,0,55
7.491686e+07,3.731961e+15,7.823647e+09,4.178090e+09,2.378658e+19,2.551543e+17,2.415949e+19,8.526735e+06,3.025061e+13,2.740740e+07,4.218219e+06,3.258643e+13,2.933639e+12,2.697117e+13,6.943394e+07,4.429424e+15,6.209850e+09,5.135703e+09,2.899985e+19,3.154353e+17,-5.900350e+18,2,66
1.929585e+08,1.407559e+16,5.605432e+09,1.568107e+10,1.469855e+20,1.853193e+18,8.402050e+19,4.244844e+07,1.080657e+15,2.469805e+08,4.037340e+07,1.167679e+15,-1.989242e+14,1.492500e+15,1.601182e+08,2.272303e+16,1.127070e+10,1.294040e+10,1.562374e+20,1.915124e+18,-2.370181e+19,3,56
5.950592e+07,2.288721e+15,1.097492e+10,9.827290e+09,1.016889e+20,4.688347e+17,1.134975e+20,6.550358e+06,2.811814e+13,2.289727e+07,6.312089e+06,5.651967e+13,8.806297e+12,8.970526e+13,5.420327e+07,2.808600e+15,9.878677e+09,1.026249e+10,1.033290e+20,5.405558e+17,-1.715745e+19,2,84
1.680995e+08,1.543458e+16,3.847248e+09,5.545107e+09,2.559110e+19,6.835980e+17,2.805138e+19,2.337372e+07,4.394002e+14,3.106053e+07,3.304833e+06,-2.975531e+13,-6.566485e+13,-2.445174e+13,1.471883e+08,2.097669e+16,5.167603e+09,5.127958e+09,2.639729e+19,7.330077e+17,-3.859743e+18,2,92
9.296391e+07,3.407037e+15,1.412484e+10,1.682526e+10,2.569271e+20,9.818747e+17,2.436160e+20,1.967816e+07,2.403675e+14,1.271618e+08,3.157984e+07,1.904158e+15,2.454198e+14,1.242304e+15,7.746101e+07,5.376209e+15,1.484742e+10,1.658697e+10,2.602214e+20,1.210713e+18,-2.155728e+19,2,62
2.149670e+08,1.725734e+16,1.485045e+09,4.167975e+09,1.010431e+19,5.474753e+17,1.216905e+19,4.463737e+07,1.519941e+15,1.677456e+08,2.302880e+07,-3.285114e+14,-4.932733e+14,-4.287211e+13,1.760015e+08,2.907044e+16,3.368342e+09,3.465103e+09,1.183750e+19,5.752205e+17,-2.191906e+18,0,83
2.678414e+07,2.999567e+14,1.778021e+09,3.683258e+08,2.939678e+17,6.372661e+15,2.841287e+17,6.035267e+06,1.231848e+13,5.989055e+07,3.319409e+06,-2.832293e+13,-9.784290e+12,-2.228255e+13,2.329284e+07,5.180412e+14,6.898016e+08,7.768848e+08,5.686292e+17,1.761906e+16,5.554227e+17,1,57
1.140806e+07,6.475936e+13,8.896543e+08,7.238236e+08,5.781072e+17,5.824702e+15,7.119435e+17,2.219447e+06,1.480924e+12,1.034319e+07,7.295428e+05,1.994662e+12,6.364281e+11,1.205953e+12,1.019967e+07,9.708084e+13,7.693476e+08,9.029063e+08,7.520101e+17,8.870038e+15,6.582119e+17,3,59
1.789701e+07,2.748416e+14,7.882689e+09,6.435909e+09,4.583342e+19,1.059501e+17,4.233265e+19,1.135432e+06,1.065949e+11,5.781558e+06,4.667618e+05,2.179381e+11,6.651967e+10,1.439887e+11,1.768451e+07,3.010053e+14,6.680754e+09,6.862158e+09,4.646184e+19,1.174814e+17,7.721594e+18,0,11
4.642979e+07,9.602387e+14,5.567991e+08,5.803268e+08,3.255735e+17,1.766120e+16,3.607017e+17,9.132662e+06,4.960637e+13,2.006735e+08,2.443084e+07,-1.493437e+15,-1.588501e+14,-1.260070e+15,3.938700e+07,1.392727e+15,1.743498e+09,5.963691e+08,5.322781e+17,1.398460e+16,8.416768e+17,0,13
1.959155e+08,2.151228e+16,4.461431e+09,3.571875e+09,1.418331e+19,5.198780e+17,1.243354e+19,3.408433e+07,2.399876e+14,5.901195e+08,1.158931e+08,-2.486927e+16,-1.494376e+15,-2.459456e+16,1.807406e+08,2.774341e+16,1.092884e+10,5.043459e+09,3.461916e+19,6.436070e+17,5.086628e+19,1,64
2.471345e+08,2.577001e+16,5.987912e+09,1.589620e+10,1.550615e+20,2.551459e+18,1.621233e+20,5.528709e+07,9.906972e+14,8.231160e+08,9.821424e+07,-2.763599e+16,-3.091116e+15,-2.669606e+16,2.157140e+08,4.071043e+16,1.226714e+10,1.324413e+10,1.688102e+20,2.489747e+18,-1.318910e+19,1,35
3.496983e+08,4.267460e+16,3.490458e+08,7.171778e+08,3.403894e+17,1.428515e+17,2.174900e+16,7.953271e+07,4.044567e+15,7.403699e+08,8.287429e+07,-2.027671e+16,-5.243686e+15,-2.029106e+16,2.861019e+08,7.410673e+16,2.382121e+09,7.895584e+08,9.355669e+17,7.405771e+16,4.961684e+17,0,8
1.469805e+08,4.568623e+15,1.288513e+09,1.423448e+10,6.095594e+19,8.877246e+17,7.054321e+19,4.313024e+07,1.315231e+15,7.984628e+08,2.474174e+08,8.702113e+16,3.197977e+15,1.384059e+17,1.107212e+08,1.100045e+16,8.626657e+09,9.227786e+09,8.232920e+19,9.492388e+17,-6.354304e+18,0,86
2.028387e+07,2.957146e+14,1.455823e+09,9.967735e+08,1.199655e+18,1.713930e+16,1.169756e+18,2.403410e+06,5.049735e+11,6.802728e+06,1.099155e+05,8.599291e+10,7.690269e+09,7.676739e+10,1.959180e+07,3.666914e+14,1.047697e+09,1.250074e+09,1.430599e+18,2.392755e+16,9.416269e+17,1,63
2.275902e+08,3.009879e+16,2.794304e+10,3.801653e+10,1.237917e+21,6.592808e+18,1.014736e+21,3.092783e+07,6.442764e+14,9.030889e+07,1.615221e+07,5.738807e+14,1.758041e+14,4.276589e+14,2.022089e+08,3.869451e+16,3.466215e+10,3.588808e+10,1.265515e+21,7.016739e+18,-1.892258e+20,2,51
2.592823e+07,3.919274e+14,5.254023e+09,2.888544e+09,1.124749e+19,5.687160e+16,1.160536e+19,3.578923e+06,7.091969e+12,1.975457e+07,1.235715e+06,-1.155753e+12,-1.818927e+12,-2.369783e+11,2.326647e+07,5.027881e+14,3.167752e+09,3.530161e+09,1.179827e+19,7.810346e+16,-1.207201e+18,3,48
6.593909e+07,1.286923e+15,2.416123e+09,4.073284e+09,1.250969e+19,1.461189e+17,4.421114e+18,1.751597e+07,1.769150e+14,6.919039e+08,9.413214e+07,-2.307412e+16,-1.217036e+15,-2.372552e+16,5.264087e+07,2.345179e+15,4.312379e+09,3.966446e+09,1.640173e+19,1.707426e+17,-1.094568e+18,0,14
1.708440e+08,1.644830e+16,1.263583e+09,5.285784e+08,3.991449e+17,6.766960e+16,2.891587e+17,2.747683e+07,2.321076e+14,6.230347e+08,1.289085e+08,-1.947697e+16,-1.341963e+15,-1.900300e+16,1.557227e+08,2.075520e+16,1.003754e+10,1.738864e+09,-3.428033e+17,-1.075280e+17,1.232149e+18,1,54
1.139949e+08,5.765708e+15,9.999952e+09,1.248452e+10,1.392046e+20,9.469632e+17,1.327222e+20,2.103231e+07,2.908354e+14,2.090156e+08,2.970723e+07,-1.316218e+15,-3.753313e+14,-9.173991e+14,9.694110e+07,8.691676e+15,1.239487e+10,1.252169e+10,1.559956e+20,1.145639e+18,-3.198402e+19,1,52
9.095516e+07,4.203693e+15,1.197078e+10,1.302473e+10,1.626223e+20,8.440298e+17,1.651920e+20,1.505634e+07,1.233527e+14,1.006093e+08,1.042272e+07,-3.280268e+14,-1.146618e+14,-3.093302e+14,7.986287e+07,5.775640e+15,1.228527e+10,1.339185e+10,1.717402e+20,1.008834e+18,-3.111417e+19,0,63
1.798152e+08,2.202762e+16,2.901296e+10,2.547054e+10,6.920877e+20,3.779135e+18,6.210921e+20,1.652286e+07,2.466645e+14,5.029767e+06,1.307639e+06,2.781096e+12,8.413072e+12,1.680364e+12,1.641115e+08,2.673082e+16,2.627276e+10,2.632114e+10,6.921648e+20,4.303285e+18,-5.369310e+19,3,101
2.520289e+08,2.408570e+16,9.594580e+09,2.666212e+10,4.211232e+20,4.112698e+18,4.038417e+20,5.188363e+07,2.029697e+15,2.362167e+08,4.781608e+07,4.681599e+15,1.022350e+15,6.457371e+15,2.069810e+08,4.006272e+16,2.078193e+10,2.209022e+10,4.730751e+20,4.396781e+18,-5.462547e+19,2,91
1.556529e+08,9.056082e+15,5.340266e+10,5.651703e+10,3.096571e+21,5.356007e+18,2.769067e+21,3.162966e+07,8.390927e+14,9.560719e+07,3.094342e+07,1.488735e+15,4.669955e+14,8.842456e+14,1.267761e+08,1.541264e+16,5.604438e+10,5.606262e+10,3.142500e+21,6.942522e+18,-4.397032e+20,3,49
1.612074e+08,1.658449e+16,6.056148e+09,4.576397e+09,2.405209e+19,5.888505e+17,2.284898e+19,1.910532e+07,1.991060e+14,4.125344e+07,3.362006e+06,-5.887841e+12,-2.584067e+13,-1.064241e+12,1.471042e+08,2.027010e+16,6.003173e+09,5.031347e+09,2.765110e+19,6.709091e+17,-5.693738e+18,0,102
2.803611e+07,5.906496e+14,1.352590e+09,1.918173e+09,3.089654e+18,4.642934e+16,2.850323e+18,2.771387e+06,1.035426e+12,1.582194e+07,1.757675e+06,-9.152151e+12,-1.614972e+12,-8.066422e+12,2.705653e+07,6.507969e+14,3.701625e+09,1.926447e+09,5.028337e+18,3.431193e+16,-5.919835e+16,1,0
1.591385e+08,1.122542e+16,3.568067e+08,5.762237e+08,2.250276e+17,5.538454e+16,2.974291e+17,3.385936e+07,3.814713e+14,6.507706e+08,9.482655e+07,-2.342108e+16,-1.847488e+15,-2.162947e+16,1.396269e+08,1.609358e+16,3.641339e+09,8.958116e+08,9.112380e+17,-1.351054e+16,8.788212e+17,0,36
7.864169e+07,4.297575e+15,3.507906e+10,4.462074e+10,1.764855e+21,2.924486e+18,1.924458e+21,7.013360e+06,3.720203e+13,7.499537e+06,7.561132e+05,9.547954e+11,6.384428e+10,9.283858e+11,7.254282e+07,5.132693e+15,4.129683e+10,4.228451e+10,1.766957e+21,3.026468e+18,-6.036845e+19,0,18
2.400095e+08,2.507898e+16,1.303955e+10,2.043171e+10,3.305252e+20,3.235633e+18,3.801580e+20,4.715401e+07,1.192157e+15,2.134578e+08,2.593134e+07,9.572031e+14,3.084040e+13,9.573711e+14,2.055025e+08,3.922635e+16,1.706279e+10,1.950285e+10,3.557722e+20,3.860960e+18,1.314487e+20,2,97
1.869962e+08,7.113921e+15,7.461329e+07,7.652272e+08,-1.423436e+17,6.386383e+16,-1.345143e+17,5.912399e+07,2.082213e+15,7.923925e+08,6.472949e+07,-4.530274e+15,-1.681060e+15,-3.176258e+15,1.414197e+08,1.759832e+16,2.976500e+08,4.242841e+08,1.308788e+17,4.993702e+16,3.256590e+15,2,79
1.181641e+08,1.146401e+16,7.302556e+10,7.061243e+10,5.070210e+21,7.560414e+18,5.220928e+21,6.446944e+06,2.192367e+13,1.347727e+07,2.130412e+06,3.364530e+12,-2.080751e+12,5.214343e+12,1.134842e+08,1.251661e+16,7.298111e+10,7.099740e+10,5.110564e+21,7.876594e+18,-5.109625e+20,3,79
1.152566e+08,4.674986e+15,2.064239e+09,3.385304e+09,8.940296e+18,2.210701e+17,1.059538e+19,2.659589e+07,4.124963e+14,2.002258e+08,2.329038e+07,-4.997070e+14,-2.748304e+14,-3.646546e+14,9.496550e+07,8.122145e+15,3.537673e+09,2.987147e+09,9.710402e+18,2.361149e+17,-1.937507e+18,3,86
2.602667e+08,8.893495e+15,1.167837e+10,1.483426e+10,1.889143e+20,1.386427e+18,1.911733e+20,9.691833e+07,5.430918e+15,3.198189e+09,4.262671e+08,-2.019541e+17,-2.077029e+16,-1.676077e+17,1.865746e+08,2.738319e+16,1.540238e+10,1.545247e+10,2.383196e+20,2.507123e+18,-3.819657e+19,1,94
6.520935e+07,3.011873e+15,5.892624e+09,5.975844e+09,3.543468e+19,3.278239e+17,3.973848e+19,5.926161e+06,1.984429e+13,8.482635e+06,1.026521e+06,7.591708e+11,-2.726251e+11,1.045651e+12,6.077115e+07,3.518988e+15,6.120173e+09,6.149692e+09,3.772499e+19,3.590369e+17,-7.352301e+18,1,48
3.305843e+08,2.389398e+16,4.064258e+09,1.947553e+09,9.803653e+17,2.821679e+17,7.865074e+17,9.547597e+07,7.003876e+15,7.731700e+08,9.419641e+07,-1.408184e+16,-6.183154e+15,-8.369321e+15,2.473199e+08,5.529752e+16,9.914659e+08,6.850357e+08,5.645578e+17,1.214574e+17,1.769019e+17,0,98
1.721207e+08,1.210748e+16,2.331047e+10,7.305461e+09,9.480372e+19,7.984716e+17,8.988429e+19,3.340103e+07,8.442350e+14,6.978614e+07,1.606086e+07,4.098309e+14,1.312236e+14,6.559648e+14,1.430679e+08,1.943097e+16,1.121466e+10,1.079608e+10,1.187910e+20,1.491227e+18,-2.396862e+19,1,61
1.201100e+08,2.644210e+15,6.602911e+08,7.367226e+09,-4.366031e+18,3.783120e+17,-2.148519e+19,3.939508e+07,9.263744e+14,7.290110e+08,5.680971e+07,-1.080192e+16,-1.698124e+15,-1.076199e+16,8.971090e+07,6.545436e+15,5.194904e+09,4.012920e+09,1.831528e+19,2.891710e+17,-2.238074e+18,0,96
1.556773e+08,6.104882e+15,1.010534e+10,2.218213e+10,3.301651e+20,1.731394e+18,3.033075e+20,4.246634e+07,1.241847e+15,5.001445e+08,6.236982e+07,-4.763254e+15,-1.531496e+15,-3.975669e+15,1.204496e+08,1.292821e+16,1.917320e+10,1.962808e+10,3.807289e+20,2.210381e+18,-7.526918e+19,2,37
1.537350e+08,7.656447e+15,5.217590e+08,2.748206e+09,-1.087349e+18,2.344434e+17,-4.358305e+18,3.669698e+07,8.732107e+14,1.063318e+09,1.428171e+08,-5.565035e+16,-4.218056e+15,-5.607001e+16,1.241973e+08,1.385784e+16,2.978103e+09,1.508283e+09,3.036344e+18,1.365150e+17,4.196379e+18,0,84
1.283003e+08,1.284642e+16,1.941500e+10,2.418860e+10,5.241584e+20,2.741223e+18,5.330520e+20,9.125726e+06,3.481937e+13,1.098209e+07,1.090887e+06,-4.308251e+11,-3.344687e+12,-8.532677e+10,1.223997e+08,1.429526e+16,2.333557e+10,2.303454e+10,5.340431e+20,2.711045e+18,-6.477062e+19,0,97
1.576447e+08,6.672404e+15,1.041419e+09,3.127150e+09,4.525626e+18,2.396044e+17,4.397841e+18,4.169859e+07,1.285015e+15,3.104756e+08,4.296168e+07,-1.133742e+14,-5.193901e+14,4.848188e+14,1.220579e+08,1.360960e+16,1.456739e+09,1.857937e+09,3.052873e+18,2.101851e+17,-4.442642e+17,0,74
1.245273e+08,6.159358e+15,2.519977e+09,3.271396e+09,9.391317e+18,2.567115e+17,9.697399e+18,2.581045e+07,4.105418e+14,3.810528e+08,4.238407e+07,-5.381792e+15,-8.581488e+14,-5.264110e+15,1.042656e+08,9.886126e+15,3.906545e+09,3.165468e+09,1.112439e+19,2.815696e+17,-2.335877e+18,1,104
6.414874e+07,2.741569e+15,3.866478e+10,3.571033e+10,1.326932e+21,1.869703e+18,1.318930e+21,6.542664e+06,2.757952e+13,1.040134e+07,7.703705e+05,-2.088435e+12,-3.958833e+12,-2.019849e+12,5.890174e+07,3.330358e+15,3.588259e+10,3.716286e+10,1.357045e+21,2.141008e+18,-1.911562e+20,1,88
