subject,crop,x,y,z,distance,angle
bs000_N_N_0,60,58.728531,7.468500,-52.471008,61.88,7.5
bs000_N_N_0,60,58.020035,9.646601,-52.322208,63.09,10
bs000_N_N_0,60,57.559032,12.880003,-53.166008,66.8,12.5
bs000_N_N_0,60,56.798035,15.922337,-53.943344,66.78,15
bs000_N_N_0,60,55.247036,18.639503,-53.728008,67.46,17.5
bs000_N_N_0,60,54.938637,20.719200,-54.055008,67.39,20
bs000_N_N_0,60,53.679535,22.513000,-53.411011,67.52,22.5
bs000_N_N_0,60,52.108147,25.216116,-52.924564,69.49,25
bs000_N_N_0,60,52.167782,27.423506,-52.391132,67.68,27.5
bs000_N_N_0,60,51.521828,29.962606,-50.532410,71,30
bs000_N_N_0,60,51.104031,32.824005,-48.848007,70.15,32.5
bs000_N_N_0,60,48.889530,34.510757,-46.232258,67.47,35
bs000_N_N_0,60,47.092136,36.561562,-43.640785,71.27,37.5
bs000_N_N_0,60,46.298027,39.211506,-41.945507,68.59,40
bs000_N_N_0,60,43.995022,40.350006,-40.153008,67.64,42.5
bs000_N_N_0,60,43.186798,43.443336,-39.233784,68.53,45
bs000_N_N_0,60,40.104019,43.452675,-37.450336,66.87,47.5
bs000_N_N_0,60,38.603802,45.750114,-36.669117,79.9,50
bs000_N_N_0,60,36.298695,48.022015,-34.296227,71.62,52.5
bs000_N_N_0,60,33.837421,48.322014,-32.969604,74.38,55
bs000_N_N_0,60,31.684357,50.273567,-32.192894,68.91,57.5
bs000_N_N_0,60,29.405466,52.538124,-32.608784,71.53,60
bs000_N_N_0,60,27.136023,52.474014,-31.672230,71.26,62.5
bs000_N_N_0,60,25.088161,54.846584,-31.428007,74.57,65
bs000_N_N_0,60,22.617239,54.684460,-30.655006,72.53,67.5
bs000_N_N_0,60,20.367460,56.928123,-30.474117,73.24,70
bs000_N_N_0,60,18.125460,56.884014,-29.689672,70.58,72.5
bs000_N_N_0,60,15.978764,56.956764,-29.176882,70.28,75
bs000_N_N_0,60,13.635791,59.148903,-29.459562,71.27,77.5
bs000_N_N_0,60,11.391901,59.117458,-29.257452,69.49,80
bs000_N_N_0,60,6.830509,59.241508,-29.187883,65.46,82.5
bs000_N_N_0,60,4.688007,59.172459,-29.219118,63.32,85
bs000_N_N_0,60,2.424451,59.169903,-29.370007,63.6,87.5
bs000_N_N_0,60,0.156449,59.166351,-29.517117,60.66,90
bs000_N_N_0,60,-2.131775,59.181461,-29.648340,63.04,92.5
bs000_N_N_0,60,-4.424221,59.200790,-29.702116,63.69,95
bs000_N_N_0,60,-6.697555,59.196793,-29.575006,63.66,97.5
bs000_N_N_0,60,-11.238111,59.175575,-29.320784,68.75,100
bs000_N_N_0,60,-13.528563,59.178902,-29.248007,68.05,102.5
bs000_N_N_0,60,-15.990754,58.595516,-28.615007,67.4,105
bs000_N_N_0,60,-18.047005,56.850460,-27.799450,65.89,107.5
bs000_N_N_0,60,-20.333450,56.831684,-27.805227,68.43,110
bs000_N_N_0,60,-22.585562,54.482346,-27.309338,66.97,112.5
bs000_N_N_0,60,-24.879459,54.459572,-27.523449,67.88,115
bs000_N_N_0,60,-27.129236,52.165237,-27.578117,69.25,117.5
bs000_N_N_0,60,-29.424459,52.176243,-28.117672,73.53,120
bs000_N_N_0,60,-32.451015,50.699013,-28.911007,73.47,122.5
bs000_N_N_0,60,-33.957584,49.956444,-29.133434,73.8,125
bs000_N_N_0,60,-35.840183,47.697342,-29.590841,70.36,127.5
bs000_N_N_0,60,-38.663521,45.168007,-28.201508,71.95,130
bs000_N_N_0,60,-40.727020,43.727757,-29.859507,71.07,132.5
bs000_N_N_0,60,-43.062523,42.790009,-31.734007,67.51,135
bs000_N_N_0,60,-44.883526,40.635841,-33.576004,69.14,137.5
bs000_N_N_0,60,-46.941135,38.583893,-34.539116,70.79,140
bs000_N_N_0,60,-46.842648,36.392632,-35.107754,68.72,142.5
bs000_N_N_0,60,-49.289474,34.022007,-36.706562,75.27,145
bs000_N_N_0,60,-51.663696,31.753782,-38.631893,75.03,147.5
bs000_N_N_0,60,-51.506775,30.056505,-39.476006,73.72,150
bs000_N_N_0,60,-53.583370,27.708338,-41.792007,69.78,152.5
bs000_N_N_0,60,-54.164143,24.911116,-43.636341,69.52,155
bs000_N_N_0,60,-55.664181,22.822002,-45.478722,69.79,157.5
bs000_N_N_0,60,-56.360035,20.542004,-47.343674,70.67,160
bs000_N_N_0,60,-57.629536,18.937504,-48.688507,74.3,162.5
bs000_N_N_0,60,-57.432369,16.459667,-48.839008,67.06,165
bs000_N_N_0,60,-58.107372,11.928001,-47.883121,69.24,167.5
bs000_N_N_0,60,-58.627293,9.847252,-47.281757,69.39,170
bs000_N_N_0,60,-60.451530,7.476126,-47.720009,72.16,172.5
bs000_N_N_0,60,-60.010704,5.097333,-46.454010,70.62,175
bs000_N_N_0,60,-60.546440,2.654599,-46.122009,70.43,177.5
bs000_N_N_0,60,-60.622543,0.509499,-45.735676,66.96,180
bs000_N_N_1,20,19.994509,0.633140,-30.288324,23.93,0
bs000_N_N_1,20,19.994509,0.633140,-30.288324,23.93,2.5
bs000_N_N_1,20,19.994509,0.633140,-30.288324,23.93,5
bs000_N_N_1,20,19.440353,2.741214,-30.744946,26.47,7.5
bs000_N_N_1,20,19.131184,3.990371,-31.010057,23.04,10
bs000_N_N_1,20,19.131184,3.990371,-31.010057,23.04,12.5
bs000_N_N_1,20,19.917728,4.831625,-31.836763,25.12,15
bs000_N_N_1,20,19.651901,6.886715,-32.698887,26.97,17.5
bs000_N_N_1,20,18.060783,7.176397,-31.649675,21.4,20
bs000_N_N_1,20,18.060783,7.176397,-31.649675,21.4,22.5
bs000_N_N_1,20,18.961679,8.479563,-33.039505,24.26,25
bs000_N_N_1,20,17.450905,9.236934,-32.286682,25.32,27.5
bs000_N_N_1,20,17.450905,9.236934,-32.286682,25.32,30
bs000_N_N_1,20,16.671007,10.727678,-32.727467,23.27,32.5
bs000_N_N_1,20,16.671007,10.727678,-32.727467,23.27,35
bs000_N_N_1,20,15.893642,12.204717,-33.459076,23.12,37.5
bs000_N_N_1,20,15.893642,12.204717,-33.459076,23.12,40
bs000_N_N_1,20,14.564554,13.538667,-32.646431,24.63,42.5
bs000_N_N_1,20,13.625769,14.494606,-32.039871,22.05,45
bs000_N_N_1,20,13.625769,14.494606,-32.039871,22.05,47.5
bs000_N_N_1,20,12.732742,15.998981,-32.214703,24.46,50
bs000_N_N_1,20,12.732742,15.998981,-32.214703,24.46,52.5
bs000_N_N_1,20,11.136147,16.563335,-30.161531,27.12,55
bs000_N_N_1,20,11.136147,16.563335,-30.161531,27.12,57.5
bs000_N_N_1,20,10.115467,17.811552,-30.294882,24.48,60
bs000_N_N_1,20,9.212585,16.910734,-27.246124,25.03,62.5
bs000_N_N_1,20,8.425527,18.399578,-27.773611,24.57,65
bs000_N_N_1,20,7.732125,18.073618,-26.307760,23.81,67.5
bs000_N_N_1,20,6.983661,18.835003,-26.086649,24.56,70
bs000_N_N_1,20,6.152486,18.660864,-20.881609,23.84,72.5
bs000_N_N_1,20,4.491359,18.993368,-18.378258,23.35,75
bs000_N_N_1,20,4.491359,18.993368,-18.378258,23.35,77.5
bs000_N_N_1,20,3.997172,20.702047,-19.135315,23.11,80
bs000_N_N_1,20,1.880359,20.415052,-17.402531,21.1,82.5
bs000_N_N_1,20,1.880359,20.415052,-17.402531,21.1,85
bs000_N_N_1,20,1.880359,20.415052,-17.402531,21.1,87.5
bs000_N_N_1,20,-0.141453,20.576294,-17.090187,20.19,90
bs000_N_N_1,20,-0.141453,20.576294,-17.090187,20.19,92.5
bs000_N_N_1,20,-2.371951,20.543648,-17.178947,21.6,95
bs000_N_N_1,20,-2.371951,20.543648,-17.178947,21.6,97.5
bs000_N_N_1,20,-3.865199,20.149723,-17.215490,21.85,100
bs000_N_N_1,20,-3.865199,20.149723,-17.215490,21.85,102.5
bs000_N_N_1,20,-5.361555,19.356543,-17.634085,23.29,105
bs000_N_N_1,20,-5.361555,19.356543,-17.634085,23.29,107.5
bs000_N_N_1,20,-6.878307,18.530407,-18.677776,23.09,110
bs000_N_N_1,20,-7.685463,19.229532,-20.056763,24.16,112.5
bs000_N_N_1,20,-8.674197,18.237162,-20.927959,23.37,115
bs000_N_N_1,20,-8.674197,18.237162,-20.927959,23.37,117.5
bs000_N_N_1,20,-10.058527,16.847710,-22.172634,24.22,120
bs000_N_N_1,20,-10.906227,17.532598,-23.753757,23.49,122.5
bs000_N_N_1,20,-11.221192,16.048065,-23.002136,24.47,125
bs000_N_N_1,20,-12.268657,16.144276,-25.005718,24.72,127.5
bs000_N_N_1,20,-13.481914,15.392258,-25.917412,22.22,130
bs000_N_N_1,20,-13.481914,15.392258,-25.917412,22.22,132.5
bs000_N_N_1,20,-13.782988,13.665768,-25.066265,20.63,135
bs000_N_N_1,20,-14.739004,13.949455,-26.617535,24.11,137.5
bs000_N_N_1,20,-15.713822,13.311972,-27.542990,26.02,140
bs000_N_N_1,20,-15.418702,11.327464,-25.911190,22.37,142.5
bs000_N_N_1,20,-16.617445,11.222832,-27.396801,23.83,145
bs000_N_N_1,20,-16.617445,11.222832,-27.396801,23.83,147.5
bs000_N_N_1,20,-17.778660,10.390099,-28.458849,24.64,150
bs000_N_N_1,20,-18.020346,8.761883,-27.875671,24.11,152.5
bs000_N_N_1,20,-18.020346,8.761883,-27.875671,24.11,155
bs000_N_N_1,20,-18.417965,6.665681,-27.558214,25.34,157.5
bs000_N_N_1,20,-18.417965,6.665681,-27.558214,25.34,160
bs000_N_N_1,20,-18.417965,6.665681,-27.558214,25.34,162.5
bs000_N_N_1,20,-18.372774,4.430102,-27.286938,21.62,165
bs000_N_N_1,20,-18.372774,4.430102,-27.286938,21.62,167.5
bs000_N_N_1,20,-20.739136,4.286550,-29.431572,23.99,170
bs000_N_N_1,20,-20.768505,2.143460,-29.072811,25.3,172.5
bs000_N_N_1,20,-19.860170,1.356052,-28.211428,23.57,175
bs000_N_N_1,20,-19.860170,1.356052,-28.211428,23.57,177.5
bs000_N_N_1,20,-19.828074,-0.138453,-27.981499,22.76,180
bs000_N_N_1,40,40.434261,1.064192,-37.507160,46.23,0
bs000_N_N_1,40,40.434261,1.064192,-37.507160,46.23,2.5
bs000_N_N_1,40,40.011013,3.336750,-37.841022,47.44,5
bs000_N_N_1,40,39.603928,4.851384,-38.044296,48.42,7.5
bs000_N_N_1,40,40.313980,7.120002,-39.203312,49.97,10
bs000_N_N_1,40,40.165432,9.169555,-39.986237,50.69,12.5
bs000_N_N_1,40,38.018993,9.375726,-39.316067,45.57,15
bs000_N_N_1,40,38.132034,12.199070,-40.842182,48.85,17.5
bs000_N_N_1,40,37.887936,13.895569,-41.637264,48.9,20
bs000_N_N_1,40,37.822605,16.179571,-42.202206,49.15,22.5
bs000_N_N_1,40,35.553661,16.181852,-41.270626,47.47,25
bs000_N_N_1,40,35.765335,18.229250,-41.031307,52.05,27.5
bs000_N_N_1,40,35.005756,19.005861,-40.069672,51.17,30
bs000_N_N_1,40,33.758167,20.998842,-38.622196,46.98,32.5
bs000_N_N_1,40,33.245510,23.170589,-38.805588,48.49,35
bs000_N_N_1,40,30.811403,25.284439,-39.965355,47.07,37.5
bs000_N_N_1,40,30.811403,25.284439,-39.965355,47.07,40
bs000_N_N_1,40,28.455915,27.518267,-39.716820,50.34,42.5
bs000_N_N_1,40,28.455915,27.518267,-39.716820,50.34,45
bs000_N_N_1,40,26.116297,29.741203,-39.194828,49.29,47.5
bs000_N_N_1,40,26.116297,29.741203,-39.194828,49.29,50
bs000_N_N_1,40,23.791935,31.950058,-39.340809,50.84,52.5
bs000_N_N_1,40,23.791935,31.950058,-39.340809,50.84,55
bs000_N_N_1,40,21.761787,33.953003,-28.481579,51.29,57.5
bs000_N_N_1,40,19.511774,34.722042,-35.692341,49.86,60
bs000_N_N_1,40,19.226009,36.452423,-35.978451,51.89,62.5
bs000_N_N_1,40,17.007963,36.409573,-35.832523,49.57,65
bs000_N_N_1,40,14.778298,36.359112,-35.671844,49.88,67.5
bs000_N_N_1,40,13.296701,37.880375,-34.030849,47.56,70
bs000_N_N_1,40,12.562412,38.533878,-32.757454,50.43,72.5
bs000_N_N_1,40,10.202145,39.119415,-30.922586,46.05,75
bs000_N_N_1,40,8.122566,38.632797,-30.738531,45.67,77.5
bs000_N_N_1,40,6.121066,38.378952,-29.831360,41.55,80
bs000_N_N_1,40,5.373653,39.146130,-29.156580,43.26,82.5
bs000_N_N_1,40,3.645681,40.930405,-27.695807,42.87,85
bs000_N_N_1,40,1.424771,40.921616,-26.680975,42.2,87.5
bs000_N_N_1,40,-0.809081,40.898750,-26.164951,40.68,90
bs000_N_N_1,40,-0.809081,40.898750,-26.164951,40.68,92.5
bs000_N_N_1,40,-3.042427,40.877560,-25.753670,41.95,95
bs000_N_N_1,40,-5.253354,38.603428,-25.734667,41.38,97.5
bs000_N_N_1,40,-7.542087,38.562279,-26.372726,43.97,100
bs000_N_N_1,40,-9.088031,39.282448,-26.866400,45.25,102.5
bs000_N_N_1,40,-9.952264,38.410137,-27.552069,48.72,105
bs000_N_N_1,40,-12.062149,38.542511,-28.532122,48.12,107.5
bs000_N_N_1,40,-12.922997,37.660614,-29.247383,45.15,110
bs000_N_N_1,40,-14.199133,36.357048,-30.776001,44.84,112.5
bs000_N_N_1,40,-16.671652,36.124348,-32.668388,45.18,115
bs000_N_N_1,40,-19.180635,35.751572,-34.065895,52.15,117.5
bs000_N_N_1,40,-20.610708,34.013329,-35.420940,51.25,120
bs000_N_N_1,40,-20.610708,34.013329,-35.420940,51.25,122.5
bs000_N_N_1,40,-22.892813,32.808743,-36.056240,48.63,125
bs000_N_N_1,40,-25.054209,31.326788,-35.948360,50.87,127.5
bs000_N_N_1,40,-25.876034,30.466070,-35.393280,45.64,130
bs000_N_N_1,40,-27.540661,29.096556,-37.119694,46.17,132.5
bs000_N_N_1,40,-27.540661,29.096556,-37.119694,46.17,135
bs000_N_N_1,40,-29.657890,26.576321,-36.841526,46.64,137.5
bs000_N_N_1,40,-29.657890,26.576321,-36.841526,46.64,140
bs000_N_N_1,40,-31.898293,24.268093,-36.656845,49.21,142.5
bs000_N_N_1,40,-31.783234,22.051258,-34.631489,46.91,145
bs000_N_N_1,40,-34.052536,21.649757,-34.509136,48.22,147.5
bs000_N_N_1,40,-34.017677,19.777044,-34.277222,45.71,150
bs000_N_N_1,40,-36.090679,17.594219,-34.929928,48,152.5
bs000_N_N_1,40,-36.090679,17.594219,-34.929928,48,155
bs000_N_N_1,40,-36.328449,15.205583,-35.742332,46.13,157.5
bs000_N_N_1,40,-38.667461,13.612310,-36.863903,49.75,160
bs000_N_N_1,40,-38.085258,11.540284,-37.075645,46.87,162.5
bs000_N_N_1,40,-39.420330,9.807173,-37.326527,45.62,165
bs000_N_N_1,40,-38.519562,8.981650,-36.925373,44.98,167.5
bs000_N_N_1,40,-38.536144,6.828346,-36.192547,43.55,170
bs000_N_N_1,40,-40.753967,4.525339,-35.900768,47.37,172.5
bs000_N_N_1,40,-39.155861,3.072629,-35.055183,44.28,175
bs000_N_N_1,40,-39.866867,1.561802,-34.786488,45.33,177.5
bs000_N_N_1,40,-40.490128,-0.052936,-34.606129,43.89,180
bs000_N_N_1,60,59.751347,0.967271,-53.103992,63.33,0
bs000_N_N_1,60,59.611546,2.917640,-53.014263,64.3,2.5
bs000_N_N_1,60,59.411678,5.367421,-53.242451,62.64,5
bs000_N_N_1,60,59.407650,7.238264,-53.879860,65.25,7.5
bs000_N_N_1,60,58.055782,10.070603,-52.846264,68.68,10
bs000_N_N_1,60,57.328304,13.616702,-53.461056,70.44,12.5
bs000_N_N_1,60,56.970623,16.057344,-53.977509,67.05,15
bs000_N_N_1,60,56.147732,19.148891,-54.350945,68.63,17.5
bs000_N_N_1,60,56.147732,19.148891,-54.350945,68.63,20
bs000_N_N_1,60,54.734715,22.855780,-53.831558,69.04,22.5
bs000_N_N_1,60,53.147312,25.242712,-52.664112,71.02,25
bs000_N_N_1,60,52.847469,27.657080,-51.632164,81.39,27.5
bs000_N_N_1,60,51.157539,30.026310,-48.870724,71.38,30
bs000_N_N_1,60,50.769825,32.337818,-47.198742,70.07,32.5
bs000_N_N_1,60,48.796543,34.502396,-44.546478,70.56,35
bs000_N_N_1,60,48.365856,36.806152,-42.925190,74.41,37.5
bs000_N_N_1,60,46.303020,39.031006,-40.399620,69.44,40
bs000_N_N_1,60,44.962101,40.871563,-39.064602,72.27,42.5
bs000_N_N_1,60,42.218346,43.611465,-36.996216,72.09,45
bs000_N_N_1,60,41.072140,43.613876,-36.539318,74.23,47.5
bs000_N_N_1,60,38.698967,46.694084,-34.156796,73.67,50
bs000_N_N_1,60,37.146236,48.196377,-32.822651,76.69,52.5
bs000_N_N_1,60,34.907299,48.120430,-32.326965,74.83,55
bs000_N_N_1,60,32.520905,50.217155,-31.735256,68.23,57.5
bs000_N_N_1,60,30.221058,52.411968,-31.430727,75.49,60
bs000_N_N_1,60,28.072226,52.438992,-30.456366,71.67,62.5
bs000_N_N_1,60,25.387026,54.507317,-29.795347,73.55,65
bs000_N_N_1,60,23.594795,54.638561,-29.195740,73.93,67.5
bs000_N_N_1,60,21.357744,56.915077,-28.803137,72.53,70
