u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21,sample,subject
3.669300e+09,1.119138e+18,1.611114e+08,1.129925e+07,4.257215e+14,6.497637e+15,7.529315e+12,1.468706e+09,1.341667e+18,2.484340e+09,4.181406e+08,-4.051957e+17,-4.726257e+17,-3.977712e+17,2.511435e+09,4.911645e+18,9.134018e+06,5.879945e+07,1.145288e+15,4.544999e+16,1.049270e+15,0,60
4.723085e+09,1.133269e+18,1.798754e+09,4.801325e+07,1.250560e+16,4.967987e+16,1.710776e+16,2.166960e+09,2.252097e+18,5.883906e+09,1.276062e+09,-3.015679e+18,-1.772868e+18,-3.257401e+18,3.225864e+09,6.834420e+18,2.423936e+08,3.102655e+08,-1.523772e+16,5.753858e+17,-1.038000e+17,2,61
4.516000e+09,1.434051e+18,2.976967e+08,2.765422e+07,2.452352e+15,3.303982e+16,2.389491e+15,1.981780e+09,1.799316e+18,5.239623e+09,1.097685e+09,-2.508371e+18,-1.437832e+18,-2.345217e+18,3.177599e+09,6.736147e+18,8.850954e+07,1.409017e+08,-1.531912e+16,2.466776e+17,-1.892787e+16,0,75
6.663185e+09,4.178545e+18,4.069765e+08,7.873767e+05,-1.238730e+13,-1.186757e+15,-1.538140e+13,2.748596e+09,3.531756e+18,8.041762e+09,1.358248e+09,-4.355380e+18,-2.509772e+18,-4.490582e+18,4.785183e+09,1.660141e+19,3.110255e+08,7.084610e+07,-6.313346e+15,2.452210e+17,-3.130529e+15,3,47
3.949483e+09,1.912061e+18,1.059830e+08,8.822425e+06,-2.068985e+14,-4.803666e+15,-3.787866e+14,1.516424e+09,1.117757e+18,3.414048e+09,5.815624e+08,-8.188527e+17,-6.145805e+17,-8.222726e+17,2.892244e+09,6.233745e+18,1.333802e+08,9.771447e+07,4.855901e+15,-1.481231e+17,2.037744e+15,0,69
3.476406e+09,1.641126e+18,6.462280e+08,6.278554e+07,1.260875e+16,7.741492e+16,1.463569e+16,1.271915e+09,8.941237e+17,2.012445e+09,3.872978e+08,-2.874961e+17,-3.323452e+17,-2.375632e+17,2.551851e+09,4.924182e+18,1.515335e+08,2.971898e+08,5.855956e+16,3.706957e+17,4.007305e+16,0,12
5.257110e+09,2.990311e+18,2.841185e+09,1.682497e+08,8.700110e+16,2.695416e+17,8.234931e+16,2.075932e+09,2.108192e+18,5.740431e+09,1.104408e+09,-2.694372e+18,-1.570893e+18,-2.805789e+18,3.805174e+09,1.012069e+19,4.558397e+08,6.436380e+08,2.129929e+17,1.436326e+18,-2.270924e+17,2,93
4.330449e+09,2.652469e+18,6.671299e+07,4.442137e+06,1.932018e+13,-5.396954e+15,1.453939e+13,1.632851e+09,1.183996e+18,3.345363e+09,5.533703e+08,-7.336525e+17,-5.991370e+17,-6.809496e+17,3.242342e+09,7.999553e+18,3.337936e+08,1.124493e+08,-1.474991e+16,-3.140633e+17,-1.877529e+16,3,69
4.371802e+09,1.896471e+18,4.850006e+09,1.880955e+08,1.109664e+17,1.714776e+17,1.068886e+17,1.718420e+09,1.729824e+18,3.206360e+09,5.917421e+08,-6.997282e+17,-7.181387e+17,-7.234677e+17,3.058279e+09,7.114260e+18,1.584566e+09,9.329480e+08,8.705245e+17,1.575415e+18,-6.972097e+14,1,49
2.580466e+09,1.171017e+17,8.860347e+08,1.158439e+07,-9.251936e+14,-5.529958e+14,-1.003482e+15,1.282188e+09,9.148527e+17,3.873351e+09,7.173386e+08,-1.190061e+18,-6.845637e+17,-1.231187e+18,1.624272e+09,1.690698e+18,8.011183e+07,1.124650e+08,-2.769681e+15,9.296135e+16,-1.394794e+16,3,95
3.895765e+09,7.557075e+17,4.873756e+08,2.701635e+07,1.132235e+15,1.514459e+16,2.248008e+15,1.767128e+09,1.653582e+18,4.101731e+09,7.446913e+08,-1.224315e+18,-9.238188e+17,-1.205068e+18,2.610353e+09,4.732022e+18,6.422961e+07,1.874968e+08,1.476487e+16,1.941095e+17,9.814581e+15,1,59
9.051555e+09,1.256293e+19,1.737869e+08,1.730294e+08,-9.140752e+14,5.568463e+17,-5.681445e+14,3.533717e+09,3.971697e+18,6.302324e+09,1.794718e+09,-5.958448e+18,-3.531210e+18,-6.280473e+18,7.065826e+09,3.781019e+19,3.977486e+09,1.563574e+09,1.453388e+18,-1.134506e+18,-1.368424e+17,0,5
2.954489e+09,4.664974e+17,1.720567e+08,1.321386e+07,-1.977874e+14,4.225489e+15,2.119385e+13,1.292971e+09,9.625024e+17,2.911826e+09,5.251716e+08,-5.899637e+17,-4.884759e+17,-5.910862e+17,1.973977e+09,2.762857e+18,3.758168e+07,1.045463e+08,6.238562e+15,3.076208e+16,6.748546e+15,0,102
3.865042e+09,8.610117e+17,2.959418e+07,2.730700e+06,-2.138556e+13,-8.960475e+13,-1.974484e+13,1.745406e+09,1.440877e+18,5.247071e+09,9.730889e+08,-2.117218e+18,-1.138958e+18,-2.195959e+18,2.666925e+09,4.501862e+18,2.308924e+08,1.554812e+08,1.773505e+16,-1.847321e+17,-1.616838e+15,3,56
3.943646e+09,8.942026e+17,6.068668e+08,2.725832e+07,-1.478830e+15,-3.742924e+15,-4.179394e+15,1.699721e+09,1.686822e+18,3.817905e+09,6.636728e+08,-1.048232e+18,-8.580773e+17,-1.065844e+18,2.645181e+09,5.056656e+18,7.412188e+07,1.014046e+08,-4.701118e+15,2.103295e+17,-6.287172e+15,1,84
3.824533e+09,1.713553e+18,1.341509e+09,1.058278e+08,3.980301e+16,1.383248e+17,4.000639e+16,1.510155e+09,1.027156e+18,3.028059e+09,6.156829e+08,-8.144034e+17,-6.140024e+17,-7.656581e+17,2.812873e+09,5.678473e+18,2.601499e+08,3.281393e+08,4.320122e+16,7.164591e+17,-8.882437e+16,0,50
6.464206e+09,6.190771e+18,6.348993e+07,1.685267e+06,1.222120e+13,3.696343e+15,1.419480e+13,2.292361e+09,2.862861e+18,4.209307e+09,6.920098e+08,-1.124908e+18,-1.139388e+18,-1.027274e+18,4.780168e+09,1.753934e+19,4.312477e+08,1.533825e+08,-1.890485e+16,-5.300663e+17,-2.100370e+16,1,44
3.932721e+09,6.888947e+17,4.089653e+07,2.618925e+06,1.217783e+13,-1.568995e+15,1.784900e+13,1.750670e+09,1.855688e+18,3.646233e+09,5.871115e+08,-8.504476e+17,-7.958717e+17,-9.072218e+17,2.572506e+09,4.945595e+18,2.627388e+08,9.156159e+07,-1.322242e+16,-2.035365e+17,-1.392551e+16,0,86
2.616526e+09,3.102558e+17,4.198731e+08,1.485377e+07,1.084175e+15,7.639048e+15,1.145435e+15,1.143756e+09,8.424066e+17,1.971718e+09,3.213270e+08,-2.415277e+17,-2.867773e+17,-2.658062e+17,1.700574e+09,2.216354e+18,1.422489e+08,6.745414e+07,4.097426e+15,9.884769e+16,4.241915e+14,1,88
5.423228e+09,4.275137e+18,1.236882e+09,1.928538e+07,-8.472977e+14,8.823848e+15,-8.975255e+14,1.940409e+09,2.027088e+18,3.566757e+09,5.786198e+08,-8.060426e+17,-8.100448e+17,-7.952447e+17,3.999563e+09,1.266810e+19,9.936518e+08,2.596790e+08,-2.839397e+16,-4.413138e+17,1.385999e+16,3,54
3.678386e+09,2.024458e+18,1.025845e+09,8.617524e+07,1.974661e+16,1.004715e+17,9.839568e+15,1.306459e+09,9.027476e+17,2.439844e+09,4.608229e+08,-4.873851e+17,-4.375810e+17,-4.776108e+17,2.728256e+09,5.682687e+18,1.438543e+08,2.561185e+08,2.922701e+16,5.089170e+17,-3.796518e+16,0,11
3.755661e+09,1.244859e+18,7.527009e+07,6.369643e+06,-8.862163e+13,-3.032668e+15,-1.882599e+14,1.478049e+09,1.360357e+18,2.472331e+09,4.012913e+08,-3.981724e+17,-4.671904e+17,-3.949059e+17,2.589353e+09,5.212806e+18,5.542043e+07,2.058561e+07,-5.673024e+14,4.039177e+16,-3.213130e+14,3,88
5.536558e+09,6.714987e+17,1.088414e+09,8.447222e+05,-2.391010e+13,4.339629e+13,-2.478059e+13,2.716656e+09,4.219422e+18,8.613034e+09,1.470632e+09,-5.227480e+18,-3.016808e+18,-5.360513e+18,3.483696e+09,7.976961e+18,1.396797e+08,1.176632e+08,-9.722573e+15,2.417068e+17,-1.678081e+16,2,99
2.297828e+09,2.079118e+17,1.880069e+08,7.125043e+06,1.452952e+14,1.722188e+15,1.069093e+14,1.079069e+09,6.104688e+17,3.119987e+09,5.933497e+08,-8.046797e+17,-4.628848e+17,-8.113587e+17,1.516521e+09,1.495000e+18,4.809434e+06,9.607886e+07,2.010499e+15,3.049542e+16,2.543963e+15,0,53
2.652570e+09,1.803188e+17,3.591075e+08,6.138567e+06,2.771080e+14,2.506983e+15,1.936426e+14,1.237632e+09,9.818299e+17,2.555162e+09,4.202221e+08,-4.308983e+17,-4.146180e+17,-4.302289e+17,1.661701e+09,2.003440e+18,1.488667e+08,4.414408e+07,1.635774e+15,6.248187e+16,-1.517920e+14,2,88
4.268502e+09,1.257480e+18,3.985210e+09,1.492513e+08,1.148849e+17,1.671522e+17,1.319125e+17,1.853992e+09,1.705442e+18,4.275103e+09,8.714057e+08,-1.460352e+18,-1.060266e+18,-1.580414e+18,2.965016e+09,6.091034e+18,5.793983e+08,6.987963e+08,2.963155e+17,1.523800e+18,-2.991742e+17,1,45
4.873092e+09,3.472333e+17,5.702906e+07,5.069148e+06,-5.632148e+13,-1.841576e+15,-1.214018e+14,2.554288e+09,3.016083e+18,1.172706e+10,2.328243e+09,-1.215373e+19,-4.033656e+18,-1.233118e+19,3.138525e+09,5.398671e+18,6.461889e+07,2.140664e+08,8.601783e+15,-4.073451e+17,-1.873142e+16,1,81
5.455657e+09,1.562314e+18,5.437802e+08,7.762805e+06,-4.063688e+14,-6.511263e+15,-1.236035e+14,2.450124e+09,3.199411e+18,7.957552e+09,1.503169e+09,-5.015915e+18,-2.641018e+18,-4.891568e+18,3.667928e+09,9.126381e+18,1.046959e+07,1.278084e+08,-2.361090e+15,-3.004701e+16,-2.294803e+15,0,41
3.244937e+09,1.214787e+18,4.355814e+08,1.807082e+07,1.443433e+15,1.953055e+16,1.285555e+15,1.210318e+09,8.705568e+17,2.234332e+09,3.637262e+08,-3.278900e+17,-3.393639e+17,-3.487265e+17,2.312487e+09,4.200290e+18,1.685982e+08,1.131722e+08,6.273609e+15,2.332049e+16,1.612582e+15,3,83
6.588485e+09,6.228593e+18,2.103011e+09,7.153110e+07,2.698242e+16,1.707575e+17,2.953976e+16,2.375936e+09,2.997488e+18,6.277362e+09,1.016996e+09,-2.561877e+18,-1.754427e+18,-2.323877e+18,4.857539e+09,1.798370e+19,3.795467e+08,4.526005e+08,5.873443e+16,1.918102e+18,2.621262e+16,0,33
3.570794e+09,6.123613e+17,1.358377e+09,3.800697e+07,7.498281e+15,2.591872e+16,6.444036e+15,1.588327e+09,1.451179e+18,4.483923e+09,7.611464e+08,-1.399059e+18,-9.152602e+17,-1.353955e+18,2.366301e+09,3.960101e+18,1.836225e+08,2.736878e+08,3.924615e+16,3.379859e+17,-1.543870e+16,1,37
3.004767e+09,5.177733e+17,2.279413e+08,1.190049e+07,-4.166349e+14,1.498754e+15,-6.808994e+13,1.306271e+09,9.803035e+17,3.073876e+09,5.376257e+08,-6.329888e+17,-5.045161e+17,-6.464055e+17,2.014880e+09,2.888262e+18,1.016057e+07,8.199136e+07,2.077972e+15,3.144657e+16,1.942085e+15,3,102
3.124035e+09,1.776425e+18,4.161752e+08,6.883944e+07,1.161676e+16,9.167810e+16,1.097354e+16,9.962892e+08,6.354267e+17,1.052266e+09,1.638831e+08,-6.623019e+16,-1.290081e+17,-7.351440e+16,2.328673e+09,4.590666e+18,2.054305e+08,1.758272e+08,2.997305e+16,2.718296e+17,3.679387e+15,0,31
5.281432e+09,3.195528e+18,7.998139e+08,3.657071e+07,6.200813e+15,6.503665e+16,5.351378e+15,2.022250e+09,2.213811e+18,4.546296e+09,8.619137e+08,-1.509769e+18,-1.206826e+18,-1.406851e+18,3.800083e+09,1.062929e+19,7.804897e+07,1.925399e+08,-1.664714e+15,4.251800e+17,-2.915260e+16,0,51
2.997636e+09,6.479172e+17,5.545895e+08,9.566437e+06,-2.776908e+14,6.784087e+14,-3.040606e+14,1.273335e+09,8.544626e+17,3.042479e+09,5.516581e+08,-7.127974e+17,-5.091734e+17,-6.645327e+17,2.074488e+09,2.975401e+18,3.188932e+08,8.256551e+07,5.498129e+15,1.400838e+17,3.601278e+15,1,80
3.842381e+09,1.446440e+18,4.599613e+08,6.316876e+07,1.034085e+16,7.483705e+16,1.086891e+16,1.550502e+09,1.191162e+18,2.734539e+09,5.944794e+08,-7.263532e+17,-6.334026e+17,-7.772051e+17,2.753098e+09,5.481421e+18,2.734345e+08,3.793157e+08,1.063969e+17,3.409778e+17,1.058779e+17,1,71
4.837179e+09,3.123564e+18,2.387835e+07,1.658921e+07,2.493271e+13,2.067779e+16,-4.586625e+13,1.916271e+09,1.361760e+18,4.569005e+09,7.180077e+08,-1.291981e+18,-8.373897e+17,-1.198208e+18,3.670271e+09,1.013527e+19,3.176599e+08,4.438006e+06,-1.359191e+14,1.224523e+16,-5.171695e+10,1,73
3.676212e+09,1.486902e+18,1.667024e+08,3.314744e+06,2.461947e+13,3.864147e+15,2.342258e+13,1.367785e+09,1.255830e+18,2.100669e+09,3.237591e+08,-2.665301e+17,-3.624906e+17,-2.992805e+17,2.560276e+09,5.328961e+18,7.410475e+07,4.142899e+07,-6.334777e+14,-2.735625e+16,1.678121e+14,2,100
2.634167e+09,2.146857e+17,7.865192e+08,1.565863e+07,1.417887e+15,6.774512e+15,1.432971e+15,1.241935e+09,8.720996e+17,3.095672e+09,5.637440e+08,-7.242443e+17,-5.188592e+17,-7.806388e+17,1.701829e+09,1.972321e+18,4.343646e+07,1.470691e+08,2.928198e+15,1.490375e+17,-1.115849e+16,0,95
5.062979e+09,2.906339e+18,9.918887e+08,3.083101e+07,3.714881e+15,4.071268e+16,1.972196e+15,1.970500e+09,2.014137e+18,4.052622e+09,7.279758e+08,-1.153519e+18,-9.812533e+17,-1.205718e+18,3.647843e+09,9.829411e+18,1.656544e+08,1.420678e+08,2.270508e+15,3.842298e+17,-1.590469e+16,1,91
3.124758e+09,4.340250e+17,1.641829e+08,4.425757e+06,-1.833913e+13,1.023304e+15,-4.003564e+13,1.395241e+09,1.153530e+18,3.023156e+09,5.072748e+08,-6.170159e+17,-5.389310e+17,-5.734956e+17,2.053640e+09,3.049543e+18,1.249587e+08,3.107169e+07,-1.931953e+15,-2.974339e+16,-6.707268e+14,0,74
4.255989e+09,1.044254e+18,6.357903e+08,1.890149e+07,-2.933703e+13,9.031650e+15,-1.036901e+14,1.834930e+09,1.958078e+18,4.370097e+09,7.557556e+08,-1.362166e+18,-1.053410e+18,-1.390523e+18,2.856806e+09,5.861535e+18,7.235979e+07,1.305146e+08,-4.478981e+15,2.780064e+17,-1.112738e+16,0,84
3.666753e+09,9.561402e+17,1.253365e+09,4.447371e+07,1.014590e+16,4.040468e+16,1.107861e+16,1.594639e+09,1.197793e+18,4.321116e+09,8.542277e+08,-1.609014e+18,-9.239039e+17,-1.572798e+18,2.572359e+09,4.360597e+18,1.175370e+09,1.430051e+08,5.420633e+16,2.558526e+17,4.730547e+16,0,65
4.434172e+09,2.532504e+18,4.675063e+08,3.341652e+07,4.137569e+15,5.315615e+16,5.275772e+15,1.724965e+09,1.283700e+18,4.090615e+09,8.802345e+08,-1.651754e+18,-9.907170e+17,-1.604065e+18,3.301167e+09,7.382673e+18,8.939030e+06,2.353468e+08,-6.064093e+15,3.559002e+17,2.648912e+15,3,78
3.454832e+09,6.552183e+17,1.152679e+09,3.014549e+07,4.819533e+15,1.827419e+16,3.882979e+15,1.566833e+09,1.165412e+18,4.505377e+09,9.006550e+08,-1.702789e+18,-9.379619e+17,-1.702246e+18,2.375824e+09,3.616768e+18,1.019383e+09,9.344169e+07,2.515778e+16,1.593697e+17,1.926232e+16,1,65
5.604036e+09,5.451949e+18,1.279187e+08,4.512514e+07,3.428387e+15,8.308967e+16,-5.191848e+14,2.067092e+09,1.461713e+18,4.543689e+09,8.617615e+08,-1.544552e+18,-9.988408e+17,-1.352163e+18,4.401788e+09,1.360774e+19,1.455337e+09,3.998053e+08,-2.663019e+17,-1.021486e+18,-2.673111e+17,1,36
3.815669e+09,1.547399e+18,5.190366e+06,7.965659e+06,2.586948e+12,6.656525e+15,9.843535e+12,1.466304e+09,1.225266e+18,2.590305e+09,4.742241e+08,-5.236405e+17,-5.237299e+17,-5.374900e+17,2.708807e+09,5.607298e+18,6.000234e+07,2.617783e+07,-9.431657e+14,3.875085e+16,-4.560421e+14,0,103
3.195594e+09,7.529310e+17,1.572163e+08,1.063650e+07,-1.563752e+14,-8.404121e+15,-1.821418e+13,1.372739e+09,9.228226e+17,3.622119e+09,6.379319e+08,-9.669966e+17,-6.112409e+17,-9.440137e+17,2.235672e+09,3.366012e+18,3.409852e+08,2.417015e+07,-5.090065e+14,4.432576e+16,2.179497e+14,3,80
4.589486e+09,2.070917e+18,3.264973e+09,2.210232e+08,1.672138e+17,3.078468e+17,1.661784e+17,1.913938e+09,1.533879e+18,4.407559e+09,9.488484e+08,-1.926085e+18,-1.167394e+18,-1.988282e+18,3.351027e+09,7.784280e+18,5.686765e+08,1.043775e+09,6.891107e+17,2.292116e+18,1.139309e+17,0,94
4.284815e+09,5.742374e+17,4.089417e+08,4.038754e+06,8.132938e+13,2.294790e+15,7.890484e+13,2.040572e+09,2.222904e+18,6.253043e+09,1.057915e+09,-2.480846e+18,-1.513211e+18,-2.287552e+18,2.798355e+09,5.092950e+18,2.547013e+08,6.421088e+07,-1.666527e+15,1.374025e+17,-2.938936e+15,0,85
3.202418e+09,7.242140e+17,1.133718e+09,2.791521e+07,3.769167e+15,2.121106e+16,4.201170e+15,1.344271e+09,1.027199e+18,2.742000e+09,5.552490e+08,-6.142656e+17,-5.424609e+17,-5.072632e+17,2.194732e+09,3.463494e+18,1.625624e+08,1.820728e+08,1.772725e+15,2.686775e+17,-3.417319e+16,1,62
5.491604e+09,2.555408e+18,9.871265e+08,7.287601e+07,1.313123e+16,9.331115e+16,1.310372e+16,2.343670e+09,2.431547e+18,6.134807e+09,1.391734e+09,-3.959503e+18,-2.149972e+18,-3.466229e+18,3.936449e+09,1.016590e+19,3.497093e+07,4.048666e+08,-1.486563e+16,6.756763e+17,-5.235290e+16,2,75
3.923115e+09,1.303017e+18,6.165358e+06,2.548499e+06,-3.077777e+12,-2.016804e+15,9.645152e+12,1.611690e+09,1.370451e+18,3.585249e+09,6.183212e+08,-9.120427e+17,-7.208050e+17,-8.977484e+17,2.752543e+09,5.582280e+18,2.362726e+07,3.968928e+07,-1.007958e+15,-9.258899e+16,-1.653387e+15,0,96
3.763266e+09,9.415070e+17,1.958255e+09,5.843078e+07,1.524531e+16,5.488080e+16,2.378983e+16,1.661922e+09,1.280103e+18,4.583672e+09,9.457251e+08,-1.842611e+18,-1.031154e+18,-1.669181e+18,2.631964e+09,4.454436e+18,1.542221e+09,2.019313e+08,1.051832e+17,3.766895e+17,8.735442e+16,3,65
4.387564e+09,1.296278e+18,1.822114e+09,8.341183e+07,3.131147e+16,9.488617e+16,3.096660e+16,1.937933e+09,1.745324e+18,4.596044e+09,8.905198e+08,-1.783590e+18,-1.169728e+18,-1.764032e+18,3.066753e+09,6.703390e+18,1.870493e+08,4.537975e+08,8.315800e+16,9.938231e+17,-6.024494e+16,0,66
3.289627e+09,8.666055e+17,6.785661e+08,5.919571e+07,3.693209e+15,2.958506e+16,2.836738e+15,1.386732e+09,9.632559e+17,3.264665e+09,6.622297e+08,-8.525776e+17,-6.085099e+17,-9.260122e+17,2.309975e+09,3.681340e+18,7.878195e+07,2.726867e+08,2.955382e+16,2.810841e+17,9.709165e+15,3,53
3.837681e+09,7.434770e+17,1.064525e+09,5.872316e+07,-1.442761e+15,4.422355e+15,-3.735847e+15,1.707890e+09,1.641748e+18,4.534839e+09,7.527503e+08,-1.388414e+18,-9.635245e+17,-1.339498e+18,2.556526e+09,4.784152e+18,1.606364e+08,1.696635e+08,1.084393e+16,3.469151e+17,-2.697519e+16,0,39
5.729522e+09,4.352719e+18,1.914728e+07,3.510265e+07,9.095354e+14,6.603952e+16,2.917235e+14,2.326904e+09,1.751137e+18,5.670720e+09,9.637134e+08,-2.155466e+18,-1.257822e+18,-2.025675e+18,4.406471e+09,1.402921e+19,3.831310e+08,1.187631e+08,-2.527221e+16,-2.762730e+17,-2.730421e+16,2,87
4.400611e+09,2.551132e+18,2.172012e+09,2.440614e+08,1.659525e+17,3.801089e+17,1.766631e+17,1.791518e+09,1.103369e+18,3.546598e+09,1.085620e+09,-1.360192e+18,-9.512611e+17,-1.155947e+18,3.372849e+09,7.717133e+18,2.470908e+08,1.086957e+09,4.178799e+17,2.118701e+18,1.526932e+17,1,50
1.714792e+09,1.317840e+17,3.441159e+08,1.448632e+07,9.839172e+14,5.049558e+15,8.991675e+14,7.976904e+08,3.083129e+17,2.113296e+09,4.391105e+08,-4.174013e+17,-2.419826e+17,-4.406139e+17,1.160155e+09,8.475569e+17,2.646062e+07,9.886956e+07,-3.367244e+15,6.439777e+16,-6.762052e+15,3,58
2.559679e+09,5.862237e+17,8.960703e+08,5.291654e+07,8.480700e+15,3.299130e+16,6.123003e+15,1.033849e+09,5.795024e+17,1.911261e+09,3.832113e+08,-3.228921e+17,-2.900878e+17,-2.972192e+17,1.799238e+09,2.382636e+18,1.207610e+08,2.081298e+08,1.677619e+16,2.522974e+17,-2.459866e+16,3,63
5.410445e+09,4.169933e+18,5.973219e+08,1.516351e+07,1.259421e+15,2.994527e+16,1.680215e+15,1.914007e+09,2.136215e+18,3.210117e+09,4.923166e+08,-6.188915e+17,-7.194902e+17,-5.595870e+17,3.950055e+09,1.244215e+19,6.658425e+08,1.969120e+08,-4.395983e+15,-2.861143e+17,1.261521e+16,0,54
3.995847e+09,7.031424e+17,1.943736e+08,1.268805e+07,-3.361254e+13,5.798484e+15,3.602576e+14,1.832876e+09,1.820303e+18,4.744205e+09,8.646131e+08,-1.648966e+18,-1.123628e+18,-1.639083e+18,2.647754e+09,4.724483e+18,5.418683e+06,1.061585e+08,2.240088e+15,3.966973e+16,2.311088e+15,2,59
5.969216e+09,3.433219e+18,2.462897e+08,2.428683e+07,-1.581215e+15,-4.031709e+16,-2.270509e+14,2.532029e+09,2.822896e+18,7.287292e+09,1.535963e+09,-4.933469e+18,-2.544261e+18,-4.569979e+18,4.290342e+09,1.260060e+19,5.609828e+06,1.196139e+08,-1.156882e+15,-4.215850e+17,2.434483e+15,1,67
3.108241e+09,8.520814e+17,1.306390e+09,4.522018e+07,9.510149e+15,3.968080e+16,1.131033e+16,1.219889e+09,9.352149e+17,1.969752e+09,3.309958e+08,-2.666948e+17,-3.193117e+17,-2.372337e+17,2.141862e+09,3.571540e+18,1.511815e+08,2.249518e+08,3.215611e+16,3.806398e+17,-2.634250e+16,0,62
4.341001e+09,1.771620e+18,3.194623e+08,1.943325e+07,6.893068e+14,1.497162e+16,3.058986e+14,1.688382e+09,1.758903e+18,2.841625e+09,4.613817e+08,-5.247480e+17,-6.091221e+17,-5.290502e+17,3.015115e+09,7.094285e+18,3.108706e+08,1.707914e+08,2.053849e+16,-6.785370e+16,2.126429e+16,2,68
4.085244e+09,1.403055e+18,1.778952e+09,6.733680e+07,2.265795e+16,6.776453e+16,1.061964e+16,1.665505e+09,1.560666e+18,2.880446e+09,5.240541e+08,-6.380112e+17,-6.510898e+17,-6.849348e+17,2.837587e+09,6.140887e+18,4.040033e+08,3.906234e+08,1.145752e+17,6.222295e+17,2.393845e+16,0,89
4.112861e+09,1.255955e+18,5.917658e+08,2.208924e+07,-1.187287e+15,-5.688125e+15,-8.969102e+14,1.678815e+09,1.743772e+18,3.304582e+09,5.584706e+08,-7.586737e+17,-7.374526e+17,-7.649243e+17,2.792406e+09,5.982537e+18,4.592768e+07,1.000144e+08,2.007602e+15,7.254348e+16,-2.773343e+15,3,68
