j1,j2,j3,sample,subject
8.884163e+09,2.121542e+19,8.623409e+27,0,70
1.273377e+10,3.908350e+19,1.670298e+28,3,104
8.391960e+09,1.769875e+19,5.305912e+27,0,77
7.461719e+09,1.411809e+19,4.263017e+27,2,83
1.110591e+10,2.972865e+19,1.232891e+28,0,91
7.046711e+09,1.380744e+19,5.248137e+27,2,92
9.534745e+09,2.494901e+19,1.206742e+28,0,81
1.576686e+10,5.661442e+19,3.422539e+28,0,17
1.121916e+10,3.214417e+19,1.843667e+28,0,16
6.647792e+09,1.149172e+19,3.669949e+27,3,90
1.235276e+10,3.635979e+19,1.603702e+28,2,49
1.208474e+10,3.567209e+19,1.709734e+28,1,51
4.077746e+09,4.382216e+18,8.634688e+26,2,58
7.709425e+09,1.585597e+19,6.058253e+27,1,56
1.313292e+10,4.280379e+19,2.491232e+28,0,87
8.555731e+09,1.887249e+19,6.757424e+27,0,45
8.096877e+09,1.692830e+19,6.366108e+27,1,55
1.316280e+10,4.291757e+19,2.523380e+28,1,87
6.587454e+09,1.102797e+19,3.284872e+27,1,90
7.837582e+09,1.598568e+19,5.197164e+27,2,74
1.277232e+10,4.130444e+19,2.338989e+28,0,34
1.065021e+10,2.827834e+19,1.150927e+28,3,49
8.894427e+09,2.169696e+19,9.506795e+27,3,70
1.326731e+10,4.345015e+19,2.171548e+28,0,47
9.952779e+09,2.516906e+19,9.152877e+27,1,42
1.224521e+10,3.793674e+19,2.247572e+28,0,4
9.201321e+09,2.202860e+19,9.751979e+27,2,65
1.352892e+10,4.833137e+19,2.788619e+28,0,7
1.149281e+10,3.225043e+19,1.214993e+28,1,104
7.813370e+09,1.534528e+19,4.795629e+27,3,71
2.979724e+10,2.165887e+20,2.332643e+29,3,72
8.860792e+09,1.973384e+19,5.969649e+27,0,68
6.865512e+09,1.173226e+19,2.909045e+27,2,62
7.820618e+09,1.574153e+19,4.799144e+27,1,74
8.827769e+09,1.897417e+19,5.403012e+27,3,100
7.457522e+09,1.404826e+19,4.026187e+27,0,71
7.721893e+09,1.412585e+19,3.878192e+27,2,12
5.330204e+09,7.009818e+18,1.305782e+27,0,63
3.653937e+09,3.534790e+18,6.034828e+26,1,58
9.432117e+09,2.170445e+19,9.549211e+27,0,64
8.368349e+09,1.755261e+19,5.192204e+27,1,60
1.579138e+10,6.183117e+19,4.071936e+28,1,47
8.202275e+09,1.749881e+19,6.835386e+27,2,55
7.685474e+09,1.557167e+19,4.311224e+27,2,86
7.732854e+09,1.570431e+19,5.011652e+27,0,59
1.250236e+10,3.992501e+19,2.030089e+28,0,27
1.112123e+10,3.130047e+19,1.651673e+28,0,32
9.804478e+09,2.287396e+19,7.516253e+27,1,25
1.336872e+10,4.439564e+19,2.286127e+28,0,24
7.179154e+09,1.307415e+19,3.238727e+27,0,88
9.120053e+09,2.037370e+19,6.922146e+27,2,103
1.039158e+10,2.970909e+19,1.637741e+28,2,81
9.250581e+09,2.148567e+19,7.303904e+27,1,77
8.428579e+09,1.733923e+19,4.988963e+27,0,14
8.348324e+09,1.652195e+19,5.008891e+27,2,52
1.210023e+10,3.621678e+19,1.753322e+28,3,57
5.920602e+09,8.852732e+18,1.989470e+27,0,13
4.750930e+09,6.136044e+18,1.446878e+27,1,53
9.135763e+09,2.061797e+19,8.928924e+27,1,78
6.658694e+09,1.184040e+19,3.433670e+27,1,92
8.186358e+09,1.623735e+19,5.120823e+27,1,12
1.146595e+10,3.474828e+19,1.777963e+28,1,76
1.408780e+10,4.767825e+19,2.360534e+28,0,6
7.530995e+09,1.518756e+19,4.780358e+27,1,0
6.205927e+09,9.872929e+18,2.720555e+27,2,90
1.096836e+10,3.062966e+19,1.422290e+28,2,98
1.058123e+10,2.961943e+19,1.291875e+28,3,76
6.823200e+09,1.244183e+19,3.542143e+27,1,46
8.954253e+09,1.971376e+19,5.631889e+27,1,101
5.876327e+09,9.304866e+18,2.576609e+27,1,95
8.453089e+09,1.677797e+19,4.588572e+27,1,43
7.146334e+09,1.237906e+19,3.011116e+27,0,15
1.041787e+10,2.778434e+19,1.124320e+28,0,42
1.116006e+10,3.064848e+19,1.441863e+28,1,93
9.496449e+09,2.242079e+19,8.566868e+27,1,96
1.319635e+10,4.199108e+19,1.774985e+28,0,104
8.692102e+09,1.802535e+19,4.402781e+27,2,101
7.401076e+09,1.408646e+19,4.644865e+27,0,55
8.264263e+09,1.637423e+19,3.947903e+27,1,100
9.154943e+09,1.973836e+19,6.475069e+27,1,69
1.054276e+10,2.937136e+19,1.447678e+28,3,66
7.481106e+09,1.464750e+19,5.175638e+27,3,55
9.471032e+09,2.247239e+19,1.005840e+28,0,78
8.077208e+09,1.679900e+19,6.045015e+27,2,71
1.156651e+10,3.422118e+19,1.753800e+28,0,67
7.971464e+09,1.641672e+19,5.876695e+27,0,10
1.048962e+10,2.709973e+19,1.084121e+28,3,91
9.132105e+09,2.037257e+19,6.039421e+27,3,101
7.004364e+09,1.242323e+19,3.224758e+27,0,1
3.463960e+10,2.941306e+20,4.387646e+29,2,72
1.041367e+10,3.028323e+19,1.756651e+28,3,81
1.231879e+10,3.931090e+19,2.277609e+28,2,67
9.078322e+09,2.252305e+19,1.006649e+28,1,70
7.161357e+09,1.283594e+19,3.406594e+27,0,83
9.227169e+09,2.197386e+19,9.006302e+27,0,35
7.160068e+09,1.279333e+19,3.431465e+27,1,83
1.195718e+10,3.510972e+19,1.666560e+28,2,51
1.285859e+10,4.089680e+19,2.145314e+28,1,35
1.049334e+10,2.808502e+19,1.321109e+28,3,75
8.601333e+09,1.845247e+19,6.385463e+27,3,103
7.712710e+09,1.429152e+19,3.592293e+27,0,29
7.759007e+09,1.570008e+19,5.171690e+27,0,46
8.816448e+09,1.971734e+19,6.509525e+27,3,77
1.289629e+10,3.929252e+19,2.004948e+28,2,73
7.729110e+09,1.442288e+19,4.263081e+27,0,52
8.521511e+09,1.698049e+19,4.652193e+27,2,69
7.028676e+09,1.294039e+19,4.339682e+27,0,80
1.138497e+10,3.045079e+19,1.129349e+28,2,54
1.341816e+10,4.197902e+19,2.069577e+28,0,44
6.623204e+09,1.152024e+19,3.604348e+27,2,80
1.261075e+10,3.848876e+19,2.036358e+28,3,93
8.404671e+09,1.850620e+19,5.749906e+27,1,86
6.157652e+09,9.334244e+18,1.904290e+27,0,18
7.947093e+09,1.680395e+19,5.958678e+27,0,37
7.818119e+09,1.659553e+19,6.656214e+27,0,56
1.122646e+10,3.312742e+19,1.768869e+28,1,61
1.132254e+10,3.345574e+19,1.689871e+28,1,79
1.238184e+10,4.141359e+19,2.301376e+28,1,99
9.247045e+09,2.216330e+19,9.391738e+27,0,73
8.685580e+09,1.952913e+19,6.762827e+27,3,84
9.236858e+09,2.198767e+19,7.193328e+27,0,79
8.068312e+09,1.706440e+19,5.850495e+27,3,59
8.833585e+09,1.970035e+19,6.446948e+27,2,84
8.840654e+09,1.942305e+19,6.108153e+27,2,89
9.339411e+09,2.200009e+19,7.256135e+27,1,68
8.626202e+09,1.938897e+19,8.887674e+27,0,30
7.861644e+09,1.618403e+19,5.450193e+27,2,37
7.535636e+09,1.487470e+19,4.039449e+27,3,86
1.258524e+10,3.903133e+19,1.976970e+28,2,57
8.573015e+09,1.768809e+19,5.265321e+27,0,25
9.618177e+09,2.317901e+19,1.064458e+28,2,78
8.383774e+09,1.730339e+19,4.878215e+27,3,60
1.135228e+10,3.279158e+19,1.872869e+28,1,97
8.709174e+09,1.891841e+19,7.088834e+27,0,19
5.677923e+09,8.047039e+18,1.790115e+27,2,63
9.512217e+09,2.179510e+19,6.488194e+27,0,26
1.124180e+10,3.130606e+19,1.376237e+28,3,51
5.954745e+09,9.481846e+18,2.540740e+27,2,95
9.716898e+09,2.490224e+19,1.074143e+28,0,61
1.116656e+10,3.031405e+19,1.380784e+28,0,93
1.278808e+10,4.144658e+19,2.049491e+28,1,41
5.309820e+09,6.993147e+18,1.326532e+27,1,63
3.467189e+09,3.136957e+18,4.614474e+26,0,58
6.328552e+09,9.726398e+18,2.456554e+27,2,82
8.985425e+09,2.117500e+19,7.536449e+27,0,0
7.073712e+09,1.262743e+19,3.144938e+27,0,28
8.305237e+09,1.697912e+19,4.843167e+27,2,60
8.822241e+09,1.824568e+19,6.421996e+27,1,38
8.402924e+09,1.727087e+19,6.157261e+27,3,50
1.195108e+10,3.483152e+19,1.398552e+28,2,104
1.016690e+10,2.511763e+19,1.099519e+28,3,97
6.249183e+09,1.012042e+19,2.952554e+27,0,90
1.283165e+10,3.966948e+19,1.704655e+28,0,8
1.017416e+10,2.751299e+19,1.324687e+28,3,61
8.241974e+09,1.674784e+19,5.175282e+27,1,103
1.019660e+10,2.653842e+19,1.267339e+28,1,94
9.337494e+09,2.304654e+19,8.643825e+27,0,76
9.658952e+09,2.356124e+19,1.097587e+28,0,36
9.542405e+09,2.153345e+19,8.735623e+27,0,38
5.204939e+09,6.971183e+18,1.597874e+27,1,48
7.330779e+09,1.444578e+19,5.330467e+27,2,56
1.115922e+10,3.147217e+19,1.464371e+28,3,98
1.079667e+10,2.916689e+19,1.472595e+28,2,97
6.920449e+09,1.130757e+19,2.951647e+27,0,82
9.979940e+09,2.704630e+19,1.328170e+28,1,85
1.380167e+10,4.665022e+19,2.874000e+28,3,87
9.139685e+09,2.095700e+19,9.108211e+27,3,64
1.048142e+10,2.755498e+19,1.111620e+28,0,57
1.139171e+10,3.405487e+19,1.632969e+28,2,76
6.894788e+09,1.209154e+19,3.312146e+27,1,102
1.268092e+10,3.925914e+19,2.015867e+28,0,9
9.909224e+09,2.346819e+19,6.955975e+27,0,101
1.592691e+10,5.957239e+19,3.189771e+28,1,5
1.005606e+10,2.547634e+19,1.280065e+28,2,64
1.045495e+10,2.611870e+19,9.553019e+27,2,91
1.516743e+10,5.273180e+19,2.795251e+28,0,2
8.364405e+09,1.703034e+19,5.609134e+27,3,52
8.810780e+09,1.830652e+19,5.732029e+27,1,52
8.016772e+09,1.638792e+19,4.910784e+27,0,49
9.106478e+09,2.096207e+19,7.369445e+27,2,77
1.493962e+10,5.685379e+19,3.651701e+28,2,47
1.208422e+10,3.953721e+19,2.181608e+28,0,99
4.412159e+09,5.349710e+18,1.203058e+27,2,53
9.419986e+09,2.407552e+19,1.079318e+28,2,70
