l1,l2,l3,sample,subject
1.330514e+10,4.887757e+19,5.432473e+28,0,14
2.079470e+10,1.080695e+20,1.656426e+29,1,54
1.269058e+10,4.613367e+19,5.158379e+28,1,52
7.757284e+09,1.796297e+19,1.299830e+28,0,63
1.206159e+10,4.319195e+19,4.789254e+28,3,101
1.638650e+10,7.593176e+19,1.062851e+29,2,91
1.440130e+10,6.227496e+19,8.327403e+28,3,49
9.466416e+09,2.770992e+19,2.581823e+28,0,102
1.055064e+10,3.639343e+19,4.122225e+28,1,0
1.422434e+10,6.100401e+19,8.129609e+28,0,36
8.175655e+09,2.039259e+19,1.602975e+28,0,18
1.488713e+10,6.850702e+19,9.908964e+28,2,97
8.141515e+10,6.585615e+20,1.155415e+30,2,79
1.693429e+10,9.032558e+19,1.539025e+29,3,79
1.010916e+10,3.195562e+19,3.194844e+28,3,86
1.745308e+10,8.553342e+19,1.284239e+29,1,94
7.829561e+09,1.852434e+19,1.380186e+28,1,48
1.616828e+10,7.949670e+19,1.229943e+29,0,98
1.720355e+10,8.805001e+19,1.403188e+29,1,61
1.260972e+10,4.788113e+19,5.699009e+28,0,96
1.245752e+10,4.680752e+19,5.529831e+28,2,37
1.272341e+10,4.930205e+19,5.980109e+28,0,84
1.347799e+10,5.535061e+19,7.097592e+28,0,97
9.636199e+09,2.747915e+19,2.394298e+28,0,74
1.705228e+10,8.062424e+19,1.134877e+29,1,104
7.324721e+09,1.683948e+19,1.228425e+28,1,88
9.314143e+09,2.767792e+19,2.634966e+28,0,80
2.020335e+10,1.164976e+20,2.025891e+29,0,34
1.019428e+10,3.215054e+19,3.219784e+28,1,92
1.221638e+10,4.505941e+19,5.204214e+28,0,25
1.312321e+10,5.151266e+19,6.197126e+28,0,70
2.037569e+10,1.180068e+20,2.099559e+29,0,3
1.260005e+10,4.678308e+19,5.344061e+28,0,59
1.573305e+10,7.992670e+19,1.296769e+29,2,81
1.622874e+10,7.537808e+19,1.048148e+29,2,61
1.444406e+10,6.576867e+19,9.443431e+28,2,64
7.293997e+09,1.728734e+19,1.334272e+28,0,95
1.284718e+10,5.182475e+19,6.677491e+28,0,0
1.215928e+10,4.493802e+19,5.223256e+28,1,49
9.378140e+09,2.776596e+19,2.602100e+28,3,62
7.767213e+09,1.935609e+19,1.537130e+28,0,53
2.263209e+10,1.436523e+20,2.772879e+29,1,33
1.231060e+10,4.732816e+19,5.716120e+28,0,79
1.228630e+10,4.497077e+19,5.004701e+28,0,92
1.027297e+10,3.052912e+19,2.796573e+28,1,82
9.427482e+09,2.669767e+19,2.372277e+28,1,90
6.088105e+09,1.206993e+19,7.725231e+27,2,58
1.190786e+10,4.541274e+19,5.601833e+28,0,39
1.267328e+10,5.082265e+19,6.538312e+28,2,68
1.230848e+10,4.553903e+19,5.263680e+28,2,71
2.595771e+10,1.718772e+20,3.358233e+29,0,17
1.410965e+10,6.075374e+19,8.239274e+28,1,96
1.363845e+10,5.594370e+19,7.159227e+28,3,77
1.783968e+10,1.008047e+20,1.812216e+29,2,75
8.592517e+09,2.122803e+19,1.588760e+28,3,63
1.726195e+10,9.192098e+19,1.556456e+29,2,67
1.399832e+10,5.974521e+19,8.006140e+28,3,97
1.188926e+10,4.344301e+19,4.959981e+28,0,73
1.663858e+10,8.033122e+19,1.199092e+29,2,94
1.980732e+10,1.097804e+20,1.848316e+29,1,87
1.033427e+10,3.150151e+19,2.983353e+28,0,15
1.416437e+10,6.296086e+19,8.576281e+28,0,38
4.670456e+10,6.710470e+20,3.044376e+30,2,72
7.381414e+09,1.692546e+19,1.234782e+28,0,48
1.616977e+10,8.470919e+19,1.425592e+29,0,99
1.290739e+10,4.483291e+19,4.592763e+28,0,100
1.273945e+10,4.469464e+19,4.700637e+28,2,60
1.550678e+10,7.711927e+19,1.237011e+29,0,23
1.072651e+10,3.565188e+19,3.746234e+28,0,49
1.705990e+10,8.029228e+19,1.150442e+29,0,94
1.310664e+10,5.342357e+19,6.618515e+28,1,38
1.055712e+10,3.516924e+19,3.721123e+28,3,92
1.574957e+10,8.044846e+19,1.328848e+29,3,81
9.502825e+09,2.814106e+19,2.653250e+28,0,88
1.605642e+10,8.357234e+19,1.404147e+29,1,81
1.338660e+10,5.147538e+19,6.100629e+28,1,69
1.873588e+10,9.440879e+19,1.437906e+29,0,54
1.070603e+10,3.712442e+19,4.180781e+28,1,56
1.311168e+10,5.538174e+19,7.416771e+28,0,85
1.877462e+10,1.071776e+20,1.928548e+29,3,47
5.125469e+09,8.569406e+18,4.647589e+27,0,58
1.979185e+10,9.984795e+19,1.494650e+29,2,54
1.059051e+10,3.499373e+19,3.695814e+28,3,55
5.403897e+09,9.551913e+18,5.490857e+27,1,58
2.322471e+10,1.567694e+20,3.229777e+29,0,2
9.591436e+09,2.908582e+19,2.795656e+28,1,46
1.381802e+10,5.274754e+19,5.978415e+28,0,101
1.341847e+10,4.391389e+19,4.064597e+28,0,43
1.550025e+10,7.602435e+19,1.196099e+29,0,42
1.838156e+10,8.993038e+19,1.312457e+29,2,93
1.259236e+10,4.100318e+19,3.849653e+28,0,103
1.308608e+10,5.653396e+19,8.060116e+28,2,85
1.375073e+10,5.731204e+19,7.522490e+28,1,77
1.709988e+10,8.176366e+19,1.177151e+29,1,91
1.845321e+10,9.490031e+19,1.488893e+29,2,87
1.353034e+10,4.531080e+19,4.324138e+28,1,43
1.079984e+10,3.446643e+19,3.398451e+28,3,88
1.321846e+10,5.318791e+19,6.688280e+28,1,45
9.563926e+09,2.809089e+19,2.615021e+28,3,102
1.145330e+10,3.739319e+19,3.753129e+28,0,52
7.391423e+09,1.788330e+19,1.410238e+28,1,53
1.843422e+10,1.011765e+20,1.738533e+29,1,34
1.186590e+10,3.915907e+19,3.861406e+28,1,100
1.724531e+10,8.269200e+19,1.203706e+29,1,93
5.699034e+10,3.421990e+20,3.293691e+29,2,73
1.479765e+10,6.960669e+19,1.047693e+29,0,75
1.267286e+10,4.247358e+19,4.202134e+28,2,83
1.208335e+10,3.840240e+19,3.599092e+28,1,83
1.774657e+10,9.355635e+19,1.534853e+29,0,47
1.819802e+10,9.142844e+19,1.390191e+29,1,36
9.966935e+09,3.044208e+19,2.945155e+28,0,1
1.161739e+10,4.201501e+19,4.845336e+28,2,55
1.558566e+10,7.348136e+19,1.072176e+29,3,76
1.065324e+10,3.638864e+19,4.001937e+28,0,65
2.177276e+10,1.211283e+20,1.885643e+29,0,104
2.282553e+10,1.285570e+20,2.051766e+29,0,6
1.703763e+10,8.315398e+19,1.250222e+29,0,51
1.426438e+10,6.224904e+19,8.554722e+28,1,98
8.319945e+09,2.209365e+19,1.894185e+28,1,80
1.169572e+10,3.973517e+19,4.168147e+28,0,71
1.408971e+10,5.738904e+19,7.184942e+28,1,78
9.171232e+09,2.532808e+19,2.197934e+28,0,90
1.717566e+10,9.008602e+19,1.492282e+29,3,57
1.444527e+10,5.163787e+19,5.256441e+28,0,20
1.787886e+10,9.774775e+19,1.675068e+29,2,57
1.477297e+10,5.498995e+19,5.806140e+28,2,103
7.329799e+09,1.742737e+19,1.349652e+28,2,88
1.005028e+10,2.880191e+19,2.518108e+28,0,82
1.289013e+10,4.869380e+19,5.573300e+28,3,50
1.260286e+10,5.117683e+19,6.691919e+28,0,35
1.448179e+10,6.910181e+19,1.083769e+29,1,85
1.306169e+10,4.825310e+19,5.379480e+28,0,89
1.013659e+10,3.334022e+19,3.579509e+28,2,56
1.487894e+10,7.061808e+19,1.082263e+29,1,79
1.163690e+10,4.125474e+19,4.614313e+28,0,69
1.436719e+10,6.162841e+19,8.275235e+28,2,96
1.940040e+10,1.073077e+20,1.827648e+29,0,87
1.615404e+10,7.115718e+19,9.483355e+28,0,21
1.055913e+10,3.607548e+19,4.003476e+28,0,46
1.273492e+10,4.626345e+19,5.134931e+28,1,89
1.321934e+10,4.752688e+19,5.052264e+28,1,60
1.250110e+10,4.559671e+19,5.122385e+28,1,37
1.655702e+10,8.559567e+19,1.412435e+29,1,76
1.655654e+10,8.432299e+19,1.363720e+29,3,67
2.159691e+10,1.199053e+20,1.930488e+29,0,44
1.214271e+10,4.267241e+19,4.522100e+28,1,101
1.171968e+10,3.911850e+19,3.943042e+28,1,74
1.134097e+10,3.851797e+19,4.077726e+28,2,74
1.428180e+10,5.957533e+19,7.721134e+28,1,25
1.741803e+10,8.610302e+19,1.307271e+29,3,94
1.325606e+10,5.498403e+19,7.296260e+28,1,68
5.530123e+09,9.992210e+18,5.871548e+27,3,58
9.775987e+09,2.477378e+19,1.855800e+28,0,31
1.252409e+10,4.428568e+19,4.798796e+28,3,52
2.083032e+10,1.174245e+20,1.984859e+29,0,33
9.206289e+09,2.526987e+19,2.165914e+28,2,90
1.478500e+10,6.956131e+19,1.049496e+29,1,42
1.447787e+10,6.236120e+19,8.331932e+28,1,50
1.027769e+10,3.253437e+19,3.265906e+28,1,102
4.899936e+10,2.542400e+20,2.179475e+29,3,73
1.359341e+10,5.667608e+19,7.462725e+28,2,77
1.110321e+10,3.925793e+19,4.456298e+28,3,65
1.543574e+10,7.093184e+19,1.005998e+29,0,57
1.821492e+10,9.651129e+19,1.570062e+29,1,51
1.729090e+10,8.503373e+19,1.277270e+29,3,51
1.465358e+10,6.499776e+19,9.065157e+28,0,66
1.222424e+10,4.003763e+19,3.815743e+28,0,60
1.195806e+10,3.852760e+19,3.738983e+28,2,12
1.517105e+10,7.108599e+19,1.059681e+29,1,66
7.814826e+09,1.993764e+19,1.668658e+28,2,95
2.345654e+10,1.311009e+20,2.047882e+29,1,44
2.074374e+10,1.207353e+20,2.138386e+29,3,87
1.272582e+10,4.696316e+19,5.351698e+28,1,71
1.036152e+10,3.360270e+19,3.431058e+28,2,86
1.311310e+10,5.062219e+19,6.050566e+28,0,37
1.814553e+10,1.007267e+20,1.767440e+29,1,41
1.112910e+10,3.220939e+19,2.772093e+28,3,82
1.346373e+10,5.120057e+19,5.909829e+28,2,89
1.298541e+10,4.763590e+19,5.347301e+28,0,50
1.177751e+10,3.972748e+19,3.997737e+28,2,101
1.133992e+10,3.560684e+19,3.360610e+28,0,29
1.425340e+10,6.614958e+19,9.970620e+28,0,81
1.563233e+10,7.641314e+19,1.175971e+29,1,97
1.766168e+10,9.750019e+19,1.703224e+29,1,67
1.639686e+10,7.075549e+19,9.135573e+28,0,78
1.718716e+10,7.515171e+19,9.672273e+28,2,78
2.045265e+10,1.254521e+20,2.406308e+29,2,47
8.016278e+09,1.983005e+19,1.548021e+28,2,63
3.811542e+10,4.305277e+20,1.513108e+30,0,72
1.985267e+10,1.135980e+20,1.984464e+29,0,9
1.483418e+10,7.109382e+19,1.106708e+29,3,85
1.388883e+10,5.841267e+19,7.634127e+28,2,70
1.350486e+10,5.536039e+19,7.059199e+28,2,59
1.223777e+10,4.280273e+19,4.614405e+28,1,12
1.163657e+10,3.461405e+19,3.030625e+28,3,83
8.913316e+09,2.512864e+19,2.252445e+28,0,62
1.320554e+10,5.455413e+19,7.120050e+28,3,64
1.247279e+10,4.338047e+19,4.600718e+28,2,69
2.138172e+10,1.348689e+20,2.635601e+29,1,47
1.634399e+10,8.300037e+19,1.322844e+29,1,75
1.376766e+10,5.483627e+19,6.658454e+28,1,59
1.125735e+10,3.489507e+19,3.283218e+28,0,12
1.234805e+10,4.874613e+19,6.206854e+28,0,40
1.338048e+10,5.614156e+19,7.326835e+28,0,64
1.636903e+10,8.209736e+19,1.302321e+29,3,66
4.005083e+10,4.887347e+20,1.878558e+30,1,72
1.808476e+10,1.002902e+20,1.746132e+29,0,4
1.339916e+10,5.296342e+19,6.495397e+28,2,50
1.573848e+10,7.055929e+19,9.502744e+28,0,61
1.324229e+10,4.735170e+19,5.010106e+28,3,60
1.607035e+10,8.088525e+19,1.289070e+29,3,75
9.339413e+09,2.785221e+19,2.645838e+28,1,62
8.718428e+09,2.434490e+19,2.171460e+28,2,80
1.744168e+10,8.538302e+19,1.278833e+29,0,91
7.730234e+09,1.955070e+19,1.624347e+28,1,95
1.283279e+10,4.348957e+19,4.200319e+28,1,103
1.260996e+10,4.935330e+19,6.160180e+28,0,68
1.830385e+10,8.953463e+19,1.277374e+29,2,104
1.232139e+10,4.288990e+19,4.565294e+28,2,52
1.339798e+10,5.097919e+19,5.899235e+28,3,89
6.333588e+10,4.002145e+20,6.022037e+29,0,30
1.909998e+10,9.936295e+19,1.534927e+29,3,104
1.252810e+10,4.768778e+19,5.657224e+28,0,45
1.385042e+10,5.664108e+19,7.048730e+28,1,70
1.646694e+10,8.791768e+19,1.512800e+29,1,99
1.439777e+10,6.375164e+19,8.944488e+28,2,98
1.273952e+10,5.064239e+19,6.281573e+28,0,19
1.299416e+10,4.953329e+19,5.869612e+28,3,69
2.117032e+10,1.288808e+20,2.370363e+29,0,24
1.343459e+10,5.395445e+19,6.639903e+28,3,70
1.067433e+10,3.246923e+19,2.988351e+28,2,100
1.333950e+10,4.746571e+19,4.975254e+28,3,103
1.731196e+10,8.196702e+19,1.176533e+29,0,93
1.211263e+10,4.276863e+19,4.678959e+28,3,71
1.136884e+10,3.876832e+19,4.144302e+28,3,53
1.866494e+10,9.426751e+19,1.436454e+29,3,54
1.237134e+10,4.421621e+19,4.838708e+28,3,100
1.291397e+10,4.900163e+19,5.741253e+28,0,77
8.606977e+09,2.285105e+19,1.900902e+28,2,48
1.149752e+10,3.798159e+19,3.782447e+28,3,74
1.590356e+10,8.209153e+19,1.383505e+29,0,41
1.213555e+10,4.543373e+19,5.372252e+28,3,84
1.956384e+10,1.168039e+20,2.188834e+29,0,7
1.241534e+10,4.941016e+19,6.354856e+28,2,65
2.995829e+10,2.431653e+20,5.977914e+29,0,5
1.732468e+10,8.452094e+19,1.240173e+29,2,49
